K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,1.828149999999992,7284.612,44.617,9268.47
2,0.12212000000000066,8306.864,3.0,9299.758
3,0.08716000000000096,9329.94,2.0,9323.565
4,0.08374999999999991,10353.096,2.0,9300.757
5,0.08626000000000068,11376.812,2.0,9287.578
6,0.0891600000000016,12402.792,2.0,9284.099
7,0.09131000000000176,13422.376,2.0,9281.914
8,0.0953900000000003,13432.56,2.0,9285.016
9,0.09972999999999922,14453.896,2.0,9290.376
10,0.10395999999999896,15477.756,2.0,9298.978
12,0.11291999999999962,17523.432,2.0,9329.267
14,0.03782999999999961,7281.944,1.0,0.0
16,0.03810999999999959,7279.3,1.0,0.0
18,0.03741999999999967,7277.748,1.0,0.0
20,0.03732999999999965,7283.016,1.0,0.0
25,0.03769999999999958,7281.304,1.0,0.0
30,0.037849999999999606,7282.736,1.0,0.0
35,0.03759999999999962,7285.276,1.0,0.0
40,0.03756999999999964,7269.24,1.0,0.0
45,0.03772999999999958,7283.06,1.0,0.0
50,0.03768999999999962,7279.736,1.0,0.0
60,0.037789999999999616,7277.208,1.0,0.0
70,0.03762999999999963,7278.864,1.0,0.0
80,0.037589999999999624,7278.688,1.0,0.0
90,0.03762999999999964,7281.368,1.0,0.0
100,0.03814999999999955,7277.948,1.0,0.0
150,0.037949999999999574,7275.1,1.0,0.0
200,0.037869999999999585,7280.792,1.0,0.0
250,0.03773999999999957,7276.852,1.0,0.0
300,0.03825999999999953,7279.188,1.0,0.0
400,0.03808999999999957,7278.732,1.0,0.0
500,0.03791999999999959,7278.184,1.0,0.0
750,0.03786999999999957,7280.896,1.0,0.0
1000,0.03812999999999957,7280.56,1.0,0.0
1500,0.038309999999999525,7275.04,1.0,0.0
2000,0.037669999999999614,7281.528,1.0,0.0
2500,0.03791999999999962,7278.34,1.0,0.0
3000,0.037949999999999554,7279.736,1.0,0.0
4000,0.03788999999999959,7276.072,1.0,0.0
5000,0.037799999999999605,7279.232,1.0,0.0
7500,0.03805999999999963,7283.916,1.0,0.0
10000,0.0376099999999996,7278.276,1.0,0.0
