K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,1.5733899999999894,7216.676,3.835,9892.795
2,1.5726099999999872,7215.78,3.835,9892.795
3,1.5730299999999864,7227.588,3.832,9892.807
4,1.5678799999999868,7202.804,3.823,9892.863
5,1.566879999999987,7221.528,3.821,9892.869
6,1.567199999999988,7210.228,3.819,9892.889
7,1.5676599999999883,7212.564,3.817,9892.897
8,1.5686199999999901,7204.64,3.817,9892.865
9,1.5710599999999904,7213.984,3.818,9892.789
10,1.571359999999993,7212.548,3.819,9892.827
12,1.5718899999999894,7222.832,3.82,9892.891
14,1.571269999999995,7221.968,3.818,9892.906
16,1.5692199999999894,7206.496,3.82,9892.954
18,1.5678099999999873,7200.956,3.819,9893.044
20,1.5709499999999903,7226.016,3.818,9892.997
25,1.5731099999999985,7201.668,3.811,9892.987
30,1.578899999999998,7220.428,3.822,9893.021
35,1.5770699999999938,7234.424,3.825,9892.938
40,1.5742899999999858,7205.852,3.82,9892.845
45,1.5742299999999931,7201.828,3.822,9892.815
50,1.5748399999999882,7211.616,3.815,9892.98
60,1.5772699999999995,7223.836,3.822,9892.956
70,1.5967999999999936,7212.6,3.836,9892.777
80,1.5791599999999935,7257.608,3.845,9892.873
90,1.581409999999989,7254.1,3.847,9892.893
100,1.5843299999999945,7259.112,3.851,9892.796
150,1.5776899999999914,8216.548,3.844,9892.846
200,1.5784699999999894,8224.584,3.848,9893.001
250,1.573079999999989,8282.156,3.823,9893.418
300,1.5742899999999922,8288.968,3.834,9893.055
400,1.5756299999999883,9264.068,3.84,9892.83
500,1.582239999999992,10246.396,3.852,9892.417
750,1.5750299999999895,11315.468,3.83,9893.141
1000,1.5726199999999955,12390.472,3.82,9892.871
1500,1.5824199999999948,15423.592,3.83,9892.551
2000,1.6011500000000078,18464.704,3.841,9893.099
2500,1.6038000000000148,20524.156,3.823,9893.125
3000,1.619950000000019,22611.436,3.833,9892.73
4000,1.6328600000000222,26660.152,3.846,9892.829
5000,1.4017300000000115,29793.98,3.0,9893.107
7500,1.3714699999999946,35852.964,3.0,9892.705
10000,1.0979900000000071,37892.744,2.0,9892.563
