K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.9456600000000025,7292.38,2.0,9892.58
2,0.9202599999999922,8286.808,2.0,9893.056
3,0.9092799999999899,9317.9,2.0,9893.182
4,0.7979599999999917,10308.332,1.578,9893.219
5,0.6880799999999927,10618.916,1.138,9893.139
6,0.6582099999999925,10664.776,1.025,9892.952
7,0.6495499999999927,10672.136,1.004,9893.022
8,0.6478199999999928,10661.932,1.0,9893.034
9,0.6511699999999936,10658.272,1.0,9893.034
10,0.6515199999999919,10670.396,1.0,9893.034
12,0.6552699999999941,10667.928,1.0,9893.034
14,0.6521099999999911,10665.676,1.0,9893.034
16,0.6602999999999944,10664.312,1.0,9893.034
18,0.6534799999999934,10667.9,1.0,9893.034
20,0.6580699999999924,10673.376,1.0,9893.034
25,0.6549099999999941,10671.552,1.0,9893.034
30,0.6552199999999931,10668.452,1.0,9893.034
35,0.6506599999999922,10674.864,1.0,9893.034
40,0.6495299999999912,10674.372,1.0,9893.034
45,0.6535899999999925,10675.724,1.0,9893.034
50,0.6588499999999957,10672.94,1.0,9893.034
60,0.6478999999999933,10678.584,1.0,9893.034
70,0.6457999999999926,10683.54,1.0,9893.034
80,0.6451899999999923,10662.208,1.0,9893.034
90,0.6477399999999927,10667.992,1.0,9893.034
100,0.27200000000000124,25681.064,1.0,0.0
150,0.27485000000000137,25673.808,1.0,0.0
200,0.27353000000000127,25671.012,1.0,0.0
250,0.2731300000000009,25668.268,1.0,0.0
300,0.2745300000000009,25669.4,1.0,0.0
400,0.2716300000000013,25673.164,1.0,0.0
500,0.27472000000000085,25651.348,1.0,0.0
750,0.2742700000000011,25673.368,1.0,0.0
1000,0.2781000000000005,25655.572,1.0,0.0
1500,0.2776100000000003,25680.924,1.0,0.0
2000,0.27378000000000113,25673.112,1.0,0.0
2500,0.2738800000000011,25685.36,1.0,0.0
3000,0.27581000000000083,25678.7,1.0,0.0
4000,0.2721600000000008,25686.656,1.0,0.0
5000,0.2726600000000011,25652.716,1.0,0.0
7500,0.27274000000000115,25680.128,1.0,0.0
10000,0.27245000000000114,25692.872,1.0,0.0
