K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,37.88804999999992,6423.544,148.205,9897.01
2,4.139919999999993,8266.896,16.531,9894.427
3,1.5871599999999884,9292.628,6.263,9910.675
4,1.2677199999999895,10310.38,5.0,9910.146
5,1.0223699999999887,11341.772,4.007,9920.653
6,1.0194199999999896,12365.404,4.0,9916.362
7,1.0254399999999873,13369.072,4.0,9912.87
8,1.0314699999999866,14394.864,4.0,9912.829
9,1.0301299999999864,15421.668,4.0,9917.033
10,0.7902499999999893,15464.736,3.024,9924.2
12,0.7890399999999896,17510.524,3.0,9924.313
14,0.7948099999999888,19557.752,3.0,9924.085
16,0.8074899999999935,21605.44,3.0,9923.242
18,0.8168399999999975,23620.732,3.0,9922.6
20,0.830590000000007,25656.4,3.0,9922.257
25,0.8714000000000031,29797.812,3.0,9919.994
30,0.9082399999999943,34866.412,3.0,9918.708
35,0.9501900000000045,39013.456,3.0,9916.372
40,0.9933900000000048,44129.252,3.0,9915.147
45,1.040599999999986,49171.612,3.0,9913.893
50,1.0878200000000033,53335.9,3.0,9913.067
60,1.1790300000000034,62562.04,3.0,9912.386
70,1.281269999999992,71783.472,3.0,9913.582
80,1.3823799999999935,81864.692,3.0,9915.882
90,1.4676500000000152,91162.996,3.0,9920.152
100,1.5700699999999774,100416.848,3.0,9924.597
150,1.3147599999999855,101351.904,2.0,9925.144
200,1.3183899999999826,101377.552,2.0,9925.144
250,1.306079999999983,101394.716,2.0,9925.144
300,1.301979999999986,101394.852,2.0,9925.144
400,1.3076699999999852,101379.896,2.0,9925.144
500,1.3110799999999863,101402.728,2.0,9925.144
750,1.307679999999982,101396.0,2.0,9925.144
1000,1.3142199999999868,101406.848,2.0,9925.144
1500,1.3049799999999858,101423.788,2.0,9925.144
2000,1.3049899999999846,101407.076,2.0,9925.144
2500,1.310749999999982,101379.908,2.0,9925.144
3000,1.3110899999999837,101388.632,2.0,9925.144
4000,1.3051599999999828,101386.264,2.0,9925.144
5000,1.2993999999999817,101391.264,2.0,9925.144
7500,1.3015899999999818,101377.188,2.0,9925.144
10000,1.3075699999999815,101371.58,2.0,9925.144
