K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,11.787760000000004,7239.656,45.617,9911.927
2,1.0410199999999874,8291.076,4.0,9912.526
3,0.7844599999999905,9311.764,3.0,9914.242
4,0.7799399999999883,10324.552,3.0,9912.77
5,0.5357899999999959,11328.264,2.0,9921.971
6,0.5324799999999942,12379.068,2.0,9921.087
7,0.536159999999995,13398.188,2.0,9920.416
8,0.5333499999999953,14335.916,2.0,9920.22
9,0.5331599999999947,14436.296,2.0,9919.283
10,0.5317399999999932,15460.144,2.0,9918.553
12,0.5381299999999988,17501.996,2.0,9916.994
14,0.5502300000000018,19541.296,2.0,9916.249
16,0.5588099999999994,21590.704,2.0,9915.207
18,0.5664299999999985,23627.18,2.0,9914.391
20,0.5846600000000008,25681.524,2.0,9913.618
25,0.6185100000000052,29791.412,2.0,9911.898
30,0.6632999999999967,34879.884,2.0,9911.236
35,0.7101800000000063,39008.852,2.0,9910.706
40,0.7640199999999951,44099.988,2.0,9909.768
45,0.8003099999999891,48230.84,2.0,9910.363
50,0.85494000000001,53327.012,2.0,9910.352
60,0.94773000000001,62556.684,2.0,9911.343
70,1.0559099999999861,71783.396,2.0,9913.053
80,1.1530300000000018,81000.124,2.0,9915.865
90,1.250680000000007,91195.356,2.0,9919.569
100,0.26581000000000016,25696.816,1.0,0.0
150,0.26609000000000055,25693.512,1.0,0.0
200,0.2659800000000007,25690.512,1.0,0.0
250,0.2660000000000007,25693.212,1.0,0.0
300,0.26820000000000116,25677.432,1.0,0.0
400,0.2665200000000003,25659.032,1.0,0.0
500,0.26578000000000074,25683.768,1.0,0.0
750,0.26611000000000007,25696.228,1.0,0.0
1000,0.26630000000000054,25676.308,1.0,0.0
1500,0.2661600000000003,25698.2,1.0,0.0
2000,0.26626000000000033,25692.408,1.0,0.0
2500,0.26573000000000063,25694.604,1.0,0.0
3000,0.26573000000000047,25689.492,1.0,0.0
4000,0.26609000000000055,25687.704,1.0,0.0
5000,0.26624000000000037,25685.604,1.0,0.0
7500,0.2663400000000007,25684.176,1.0,0.0
10000,0.2666000000000008,25693.012,1.0,0.0
