M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0,4195.4,1.0,0.0
2000,0.0,4196.64,1.0,0.0
3000,0.0,4201.24,1.0,0.0
4000,0.0,4190.92,1.0,0.0
5000,0.0,4203.12,1.0,0.0
6000,0.0,4202.72,1.0,0.0
7000,0.0,4193.36,1.0,0.0
8000,0.0,4184.28,1.0,0.0
9000,0.0,4192.8,1.0,0.0
10000,0.0,4187.6,1.0,0.0
12000,0.0,4202.28,1.0,0.0
14000,0.0,4189.64,1.0,0.0
16000,0.0001,4202.72,1.0,0.0
18000,0.0010999999999999998,4199.72,1.0,0.0
25000,0.03099999999999995,8298.08,2.0,6396.95
30000,0.0738000000000001,8255.96,3.0,7191.55
35000,0.06940000000000009,8300.16,3.0,7404.87
40000,0.06589999999999993,8283.52,3.0,7651.09
45000,0.06550000000000002,8268.76,3.0,7880.69
50000,0.06640000000000001,8282.92,3.0,8073.16
60000,0.07010000000000009,8288.48,3.0,8393.79
70000,0.07230000000000007,8299.4,3.0,8625.16
80000,0.08100000000000003,8272.88,3.0,8796.56
90000,0.08919999999999993,8289.56,3.0,8931.4
100000,0.09639999999999985,8279.52,3.0,9048.33
200000,0.1733999999999999,8298.0,3.0,9554.16
300000,0.3328999999999996,8289.96,4.0,9722.83
400000,0.43110000000000026,8295.88,4.0,9777.55
500000,0.5258000000000007,8294.16,4.0,9820.68
600000,0.6309,8296.16,4.0,9848.37
700000,0.7293999999999997,8295.08,4.0,9871.88
800000,0.8312999999999994,8298.28,4.0,9887.0
900000,0.9306000000000008,8296.44,4.0,9901.28
1000000,1.0286000000000008,8294.64,4.0,9913.23
2000000,2.028200000000001,8297.52,4.0,9960.27
4000000,4.019799999999998,8272.4,4.0,9982.94
6000000,6.054599999999996,8296.76,4.0,9989.75
8000000,8.0568,8289.76,4.0,9992.88
10000000,10.176799999999998,8291.88,4.0,9995.1
15000000,15.602899999999998,8297.12,4.04,9997.2
20000000,20.83349999999999,8291.2,4.18,9998.14
25000000,28.047900000000006,8293.88,4.53,9998.83
30000000,36.20819999999999,8294.56,4.79,9999.03
35000000,42.4138,8294.8,4.81,9999.41
