N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3186.68,1.0,10.0
20,0.0,3184.52,1.01,20.0
30,0.0,3187.64,1.03,30.0
40,0.0,3182.28,1.13,40.0
50,0.0,3178.12,1.1,50.0
60,0.0,3187.32,1.25,60.0
70,0.0,3186.12,1.2,70.0
80,0.0,3182.36,1.24,80.0
90,0.0,3179.16,1.28,90.0
100,0.0,3180.76,1.28,100.0
200,0.005300000000000003,3185.56,1.53,200.0
300,0.0219,3181.64,1.78,300.0
400,0.04649999999999993,3187.16,1.83,400.0
500,0.07680000000000003,3179.64,1.91,500.0
600,0.11559999999999987,3186.44,1.96,600.0
700,0.15900000000000009,3183.8,1.98,700.0
800,0.2108000000000004,3179.6,2.0,800.0
900,0.27039999999999986,3184.8,2.0,900.0
1000,0.33409999999999956,3181.48,1.99,1000.0
1200,0.4999,3177.72,2.0,1200.0
1400,0.6906999999999996,3180.6,2.0,1400.0
1600,0.909,4098.52,2.0,1600.0
1800,1.1500000000000004,4181.12,2.0,1800.0
2000,1.4504000000000008,4208.84,2.0,2000.0
2500,2.2706,4209.32,2.0,2500.0
3000,3.325800000000001,4201.68,2.0,3000.0
3500,4.695799999999998,5083.0,2.0,3500.0
4000,5.9656,5014.72,2.0,4000.0
4500,7.781099999999998,5240.6,2.0,4500.0
5000,9.443299999999999,6006.12,2.0,5000.0
6000,14.068099999999998,5947.28,2.0,6000.0
7000,19.108299999999993,6697.08,2.0,7000.0
8000,26.3745,6665.44,2.0,8000.0
9000,32.445800000000006,7834.64,2.0,9000.0
10000,41.198499999999996,8106.76,2.0,10000.0
