N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3186.44,1.99,10.0
20,0.0,3184.36,2.2,20.0
30,0.0,3180.76,2.73,30.0
40,0.0,3185.92,2.95,40.0
50,0.0,3180.84,2.98,50.0
60,0.0,3183.72,3.0,60.0
70,0.0,3182.56,3.02,70.0
80,0.0,3183.8,3.01,80.0
90,0.0,3181.12,3.03,90.0
100,0.0,3183.48,3.12,100.0
200,0.013600000000000008,3178.76,3.46,200.0
300,0.03900000000000002,3179.36,3.9,300.0
400,0.07900000000000006,3189.76,3.99,400.0
500,0.1222999999999999,3188.2,3.99,500.0
600,0.17929999999999985,3186.4,4.0,600.0
700,0.24229999999999977,3179.72,4.0,700.0
800,0.3184,3177.96,4.0,800.0
900,0.40449999999999925,3177.2,4.0,900.0
1000,0.4979000000000001,3183.04,4.0,1000.0
1200,0.7352999999999993,3186.48,4.0,1200.0
1400,1.0191000000000008,3180.96,4.0,1400.0
1600,1.3193999999999997,4144.12,4.0,1600.0
1800,1.6581000000000001,4208.28,4.0,1800.0
2000,2.047600000000002,4204.2,4.0,2000.0
2500,3.2009000000000003,4204.6,4.0,2500.0
3000,4.594400000000001,4204.4,4.0,3000.0
3500,6.211599999999997,4254.72,4.01,3500.0
4000,8.383300000000002,5233.96,4.03,4000.0
4500,10.356900000000003,5238.72,4.04,4500.0
5000,13.112000000000007,5241.52,4.1,5000.0
6000,19.421499999999998,6249.32,4.23,6000.0
7000,26.983800000000006,6249.48,4.42,7000.0
8000,37.9777,7266.76,4.62,8000.0
9000,46.69409999999999,7268.0,4.66,9000.0
10000,60.89340000000002,8277.36,4.81,10000.0
