N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3183.588,1.0,0.0
20,0.0,3181.716,1.0,0.0
30,0.0,3182.224,2.053,27.844
40,0.0,3182.396,2.058,37.074
50,0.0,3183.168,2.075,46.371
60,0.0,3183.688,2.093,55.811
70,0.0,3182.656,2.104,65.286
80,0.0,3183.748,2.115,74.773
90,0.0,3183.148,2.138,84.163
100,0.0,3183.564,2.137,93.739
200,0.0,3182.708,2.213,189.636
300,0.0,3181.7,2.287,286.463
400,0.0006400000000000004,3181.968,2.329,383.632
500,0.007179999999999891,3182.076,2.377,481.079
600,0.010009999999999832,3182.024,2.422,578.76
700,0.013719999999999776,3181.548,2.432,676.674
800,0.017099999999999747,3180.956,2.459,774.389
900,0.02324999999999982,3184.168,2.479,872.636
1000,0.025129999999999944,3183.476,2.506,971.106
1200,0.04878999999999966,3183.428,2.515,1167.775
1400,0.04990999999999984,3182.46,2.541,1364.618
1600,0.06206999999999977,3183.128,2.576,1561.416
1800,0.07726000000000022,3182.992,2.599,1759.364
2000,0.0918799999999988,4197.984,2.601,1956.748
2500,0.13009000000000043,4194.124,2.606,2450.319
3000,0.17817999999999995,4206.804,2.676,2945.256
3500,0.2309500000000001,4207.288,2.714,3440.165
4000,0.289840000000003,4206.344,2.714,3935.417
4500,0.3516800000000023,5211.568,2.724,4430.953
5000,0.4139700000000009,5215.872,2.751,4927.161
6000,0.5765700000000064,5197.508,2.82,5919.38
7000,0.7436299999999911,6216.48,2.819,6912.304
8000,0.922470000000007,6256.256,2.832,7905.557
9000,1.1271300000000002,6267.244,2.846,8898.787
10000,1.3174900000000098,7213.272,2.84,9892.56
