Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,1,2,1472.0,14
5000,1,2,1408.0,14
6000,1,2,1408.0,14
7000,1,2,1408.0,14
8000,1,2,1408.0,14
9000,1,2,1408.0,14
10000,1,2,1408.0,14
11000,1,2,1408.0,14
12000,1,2,1408.0,14
13000,1,2,1408.0,14
14000,1,2,1408.0,14
15000,1,2,1408.0,14
16000,1,2,1408.0,14
17000,1,2,1408.0,14
18000,1,2,1408.0,14
19000,1,2,1408.0,14
20000,1,2,1472.0,14
21000,1,2,1408.0,14
22000,1,2,1408.0,14
23000,1,2,1408.0,14
24000,1,2,1408.0,14
25000,1,2,1408.0,14
30000,1,2,1408.0,14
35000,1,2,1408.0,14
40000,1,2,1408.0,14
45000,1,2,1408.0,14
50000,1,2,1520.0,14
60000,1,2,1408.0,14
70000,1,2,1472.0,14
80000,1,2,1408.0,14
90000,1,2,1408.0,14
100000,1,2,1408.0,14
200000,1,2,1408.0,14
300000,1,2,1408.0,14
400000,1,2,1408.0,14
500000,1,2,1408.0,14
600000,1,2,1408.0,14
700000,1,2,1408.0,14
800000,1,2,1408.0,14
900000,1,2,1408.0,14
1000000,1,2,1408.0,14
