Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,13,1,1600.0,14
5000,13,1,1600.0,14
6000,13,1,1600.0,14
7000,13,1,1600.0,14
8000,13,1,1600.0,14
9000,13,1,1600.0,14
10000,13,1,1600.0,14
11000,13,1,1728.0,14
12000,13,1,1600.0,14
13000,13,1,1600.0,14
14000,13,1,1600.0,14
15000,13,1,1600.0,14
16000,13,1,1600.0,14
17000,13,1,1600.0,14
18000,13,1,1600.0,14
19000,13,1,1600.0,14
20000,13,1,1600.0,14
21000,13,1,1600.0,14
22000,13,1,1600.0,14
23000,13,1,1600.0,14
24000,13,1,1600.0,14
25000,13,1,1600.0,14
30000,13,1,1728.0,14
35000,13,1,1600.0,14
40000,13,1,1600.0,14
45000,13,1,1600.0,14
50000,13,1,1600.0,14
60000,13,1,1600.0,14
70000,13,1,1712.0,14
80000,13,1,1600.0,14
90000,13,1,1600.0,14
100000,13,1,1600.0,14
200000,13,1,1600.0,14
300000,13,1,1696.0,14
400000,13,1,1600.0,14
500000,13,1,1600.0,14
600000,13,1,1600.0,14
700000,13,1,1696.0,14
800000,13,1,1600.0,14
900000,13,1,1600.0,14
1000000,13,1,1600.0,14
