Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,9,2,1584.0,14
5000,9,2,1584.0,14
6000,9,2,1584.0,14
7000,9,2,1584.0,14
8000,9,2,1584.0,14
9000,9,2,1584.0,14
10000,9,2,1584.0,14
11000,9,2,1584.0,14
12000,9,2,1664.0,14
13000,9,2,1584.0,14
14000,9,2,1584.0,14
15000,9,2,1584.0,14
16000,9,2,1584.0,14
17000,9,2,1584.0,14
18000,9,2,1584.0,14
19000,9,2,1584.0,14
20000,9,2,1584.0,14
21000,9,2,1584.0,14
22000,9,2,1584.0,14
23000,9,2,1584.0,14
24000,9,2,1584.0,14
25000,9,2,1664.0,14
30000,9,2,1584.0,14
35000,9,2,1584.0,14
40000,9,2,1584.0,14
45000,9,2,1584.0,14
50000,9,2,1584.0,14
60000,9,2,1584.0,14
70000,9,2,1584.0,14
80000,9,2,1584.0,14
90000,9,2,1584.0,14
100000,9,2,1584.0,14
200000,9,2,1584.0,14
300000,9,2,1584.0,14
400000,9,2,1584.0,14
500000,9,2,1584.0,14
600000,9,2,1584.0,14
700000,9,2,1584.0,14
800000,9,2,1584.0,14
900000,9,2,1712.0,14
1000000,9,2,1584.0,14
