Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,5,2,1568.0,14
5000,5,2,1568.0,14
6000,5,2,1664.0,14
7000,5,2,1568.0,14
8000,5,2,1568.0,14
9000,5,2,1568.0,14
10000,5,2,1664.0,14
11000,5,2,1568.0,14
12000,5,2,1568.0,14
13000,5,2,1568.0,14
14000,5,2,1568.0,14
15000,5,2,1568.0,14
16000,5,2,1568.0,14
17000,5,2,1664.0,14
18000,5,2,1568.0,14
19000,5,2,1568.0,14
20000,5,2,1568.0,14
21000,5,2,1568.0,14
22000,5,2,1568.0,14
23000,5,2,1568.0,14
24000,5,2,1568.0,14
25000,5,2,1568.0,14
30000,5,2,1568.0,14
35000,5,2,1568.0,14
40000,5,2,1568.0,14
45000,5,2,1568.0,14
50000,5,2,1568.0,14
60000,5,2,1568.0,14
70000,5,2,1568.0,14
80000,5,2,1568.0,14
90000,5,2,1568.0,14
100000,5,2,1568.0,14
200000,5,2,1568.0,14
300000,5,2,1568.0,14
400000,5,2,1568.0,14
500000,5,2,1568.0,14
600000,5,2,1568.0,14
700000,5,2,1568.0,14
800000,5,2,1568.0,14
900000,5,2,1568.0,14
1000000,5,2,1568.0,14
