Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,1,4,8864.0,1
10000,1,4,8800.0,1
11000,1,4,8800.0,2
12000,3,3,11648.0,3
13000,3,3,11536.0,4
14000,3,3,11824.0,4
15000,5,2,14416.0,5
16000,5,2,14416.0,6
17000,5,2,14416.0,6
18000,5,2,14560.0,7
19000,5,2,14576.0,8
20000,5,2,14512.0,8
21000,5,2,14528.0,9
22000,5,2,14480.0,10
23000,11,1,22096.0,11
24000,11,1,22256.0,11
25000,11,1,22288.0,11
30000,11,1,22160.0,11
35000,11,1,22064.0,11
40000,11,1,22176.0,11
45000,11,1,22064.0,11
50000,11,1,22160.0,11
60000,11,1,22064.0,11
70000,11,1,22064.0,11
80000,11,1,22416.0,11
90000,11,1,22256.0,11
100000,11,1,22304.0,11
200000,11,1,22288.0,11
300000,11,1,22320.0,11
400000,11,1,22144.0,11
500000,11,1,22352.0,11
600000,11,1,22176.0,11
700000,11,1,22176.0,11
800000,11,1,22368.0,11
900000,11,1,22240.0,11
1000000,11,1,22192.0,11
