Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,1,11,8640.0,1
10000,1,11,8608.0,1
11000,2,6,10048.0,2
12000,3,4,11504.0,3
13000,4,3,12880.0,4
14000,4,3,12960.0,4
15000,4,3,12880.0,5
16000,6,2,15808.0,6
17000,6,2,15776.0,6
18000,6,2,15776.0,7
19000,6,2,15776.0,8
20000,6,2,15744.0,9
21000,6,2,15776.0,9
22000,6,2,15824.0,10
23000,6,2,15776.0,11
24000,6,2,15712.0,11
25000,6,2,15792.0,11
30000,6,2,15712.0,11
35000,6,2,15776.0,11
40000,6,2,15792.0,11
45000,6,2,15840.0,11
50000,6,2,15776.0,11
60000,6,2,15776.0,11
70000,6,2,15776.0,11
80000,6,2,15712.0,11
90000,6,2,15728.0,11
100000,6,2,15776.0,11
200000,6,2,15776.0,11
300000,6,2,15824.0,11
400000,6,2,15712.0,11
500000,6,2,15712.0,11
600000,6,2,15712.0,11
700000,6,2,15712.0,11
800000,6,2,15712.0,11
900000,6,2,15776.0,11
1000000,6,2,15792.0,11
