Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,1,4,11936.0,11
13000,1,4,11984.0,11
14000,1,4,11920.0,11
15000,1,4,12000.0,11
16000,1,4,12080.0,11
17000,1,4,11936.0,11
18000,1,4,11984.0,11
19000,1,4,11936.0,11
20000,1,4,12032.0,11
21000,1,4,11920.0,11
22000,1,4,12016.0,11
23000,1,4,11984.0,11
24000,1,4,11936.0,11
25000,1,4,12048.0,11
30000,1,4,12000.0,11
35000,1,4,11968.0,11
40000,1,4,12016.0,11
45000,1,4,11936.0,11
50000,1,4,11984.0,11
60000,1,4,11936.0,11
70000,1,4,12000.0,11
80000,1,4,11936.0,11
90000,1,4,12032.0,11
100000,1,4,12000.0,11
200000,1,4,11952.0,11
300000,1,4,11936.0,11
400000,1,4,11936.0,11
500000,1,4,11984.0,11
600000,1,4,11984.0,11
700000,1,4,11920.0,11
800000,1,4,12192.0,11
900000,1,4,11920.0,11
1000000,1,4,12096.0,11
