Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,1,221,12752.0,1
14000,1,221,12656.0,1
15000,2,35,14112.0,2
16000,3,19,13872.0,3
17000,4,12,16800.0,4
18000,4,12,14496.0,4
19000,4,12,17888.0,4
20000,4,12,15712.0,4
21000,4,12,15680.0,4
22000,5,9,20384.0,5
23000,6,4,22624.0,7
24000,4,12,18048.0,4
25000,5,9,17792.0,5
30000,10,2,26384.0,10
35000,10,2,26384.0,11
40000,10,2,25952.0,11
45000,10,2,26928.0,11
50000,10,2,25792.0,11
60000,10,2,25792.0,11
70000,10,2,25952.0,11
80000,10,2,25792.0,11
90000,10,2,25952.0,11
100000,10,2,25792.0,11
200000,10,2,26384.0,11
300000,10,2,26816.0,11
400000,10,2,26928.0,11
500000,10,2,26848.0,11
600000,10,2,27840.0,11
700000,10,2,25792.0,11
800000,10,2,25792.0,11
900000,10,2,26384.0,11
1000000,10,2,25792.0,11
