Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,N/A,N/A,N/A,N/A
19000,N/A,N/A,N/A,N/A
20000,N/A,N/A,N/A,N/A
21000,N/A,N/A,N/A,N/A
22000,3,3,21744.0,3
23000,N/A,N/A,N/A,N/A
24000,7,2,22416.0,7
25000,5,2,24080.0,5
30000,5,2,26960.0,9
35000,5,2,26832.0,11
40000,5,2,22112.0,11
45000,5,2,27840.0,11
50000,5,2,21856.0,11
60000,5,2,26960.0,11
70000,5,2,26832.0,11
80000,5,2,26832.0,11
90000,5,2,20928.0,11
100000,5,2,21248.0,11
200000,5,2,26832.0,11
300000,5,2,26832.0,11
400000,5,2,20768.0,11
500000,5,2,26832.0,11
600000,5,2,26832.0,11
700000,5,2,20800.0,11
800000,5,2,26960.0,11
900000,5,2,24512.0,11
1000000,5,2,26832.0,11
