Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,1,35,13264.0,1
16000,2,19,14496.0,2
17000,2,19,16224.0,2
18000,3,12,17504.0,3
19000,3,12,16704.0,3
20000,3,12,15776.0,3
21000,3,12,17504.0,3
22000,3,12,16928.0,3
23000,3,12,17744.0,3
24000,5,4,20400.0,5
25000,7,3,23408.0,8
30000,9,2,27024.0,11
35000,9,2,25968.0,11
40000,9,2,25968.0,11
45000,9,2,25968.0,11
50000,9,2,25808.0,11
60000,9,2,25808.0,11
70000,9,2,28992.0,11
80000,9,2,25968.0,11
90000,9,2,25808.0,11
100000,9,2,25808.0,11
200000,9,2,26864.0,11
300000,9,2,25808.0,11
400000,9,2,25808.0,11
500000,9,2,25808.0,11
600000,9,2,25808.0,11
700000,9,2,25808.0,11
800000,9,2,25808.0,11
900000,9,2,26976.0,11
1000000,9,2,25968.0,11
