Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,2,8,14624.0,2
16000,2,8,14624.0,2
17000,2,8,16064.0,2
18000,2,8,14624.0,2
19000,3,3,18336.0,3
20000,2,8,14752.0,2
21000,3,3,18336.0,3
22000,3,3,19856.0,3
23000,3,3,18336.0,3
24000,3,3,18336.0,3
25000,3,3,18336.0,3
30000,3,3,22592.0,3
35000,3,3,18336.0,3
40000,3,3,18336.0,3
45000,3,3,18336.0,3
50000,3,3,18336.0,3
60000,3,3,22576.0,3
70000,3,3,21936.0,3
80000,3,3,18336.0,3
90000,3,3,18336.0,3
100000,3,3,18336.0,3
200000,3,3,18480.0,3
300000,3,3,18336.0,3
400000,3,3,18336.0,3
500000,3,3,18336.0,3
600000,3,3,18336.0,3
700000,3,3,19120.0,3
800000,3,3,18336.0,3
900000,3,3,18336.0,3
1000000,3,3,18336.0,3
