Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,2,2,17472.0,2
19000,N/A,N/A,N/A,N/A
20000,2,2,18128.0,2
21000,2,2,16704.0,2
22000,2,2,20928.0,2
23000,2,2,16704.0,3
24000,2,2,16704.0,3
25000,2,2,16704.0,3
30000,2,2,16704.0,3
35000,2,2,21568.0,3
40000,2,2,22304.0,3
45000,2,2,16704.0,3
50000,2,2,16704.0,3
60000,2,2,16704.0,3
70000,2,2,16704.0,3
80000,2,2,21760.0,3
90000,2,2,21568.0,3
100000,2,2,18128.0,3
200000,2,2,22448.0,3
300000,2,2,21040.0,3
400000,2,2,19520.0,3
500000,2,2,20880.0,3
600000,2,2,24496.0,3
700000,2,2,18896.0,3
800000,2,2,20912.0,3
900000,2,2,24480.0,3
1000000,2,2,18336.0,3
