Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,N/A,N/A,N/A,N/A
19000,N/A,N/A,N/A,N/A
20000,1,9,19104.0,1
21000,1,9,17600.0,1
22000,1,9,19920.0,1
23000,2,2,22640.0,2
24000,2,2,22640.0,2
25000,2,2,22640.0,2
30000,2,2,24128.0,3
35000,2,2,26272.0,3
40000,2,2,26896.0,3
45000,2,2,22640.0,3
50000,2,2,22640.0,3
60000,2,2,22640.0,3
70000,2,2,24144.0,3
80000,2,2,27344.0,3
90000,2,2,32544.0,3
100000,2,2,22640.0,3
200000,2,2,22640.0,3
300000,2,2,22640.0,3
400000,2,2,22640.0,3
500000,2,2,22640.0,3
600000,2,2,28448.0,3
700000,2,2,22640.0,3
800000,2,2,22640.0,3
900000,2,2,22640.0,3
1000000,2,2,22640.0,3
