Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,N/A,N/A,N/A,N/A
19000,N/A,N/A,N/A,N/A
20000,N/A,N/A,N/A,N/A
21000,N/A,N/A,N/A,N/A
22000,N/A,N/A,N/A,N/A
23000,1,3,22784.0,1
24000,1,3,22752.0,1
25000,1,3,22896.0,1
30000,2,2,27280.0,2
35000,4,1,34976.0,4
40000,4,1,35040.0,4
45000,4,1,35168.0,4
50000,4,1,35056.0,4
60000,4,1,35040.0,4
70000,4,1,35088.0,4
80000,4,1,35024.0,4
90000,4,1,35024.0,4
100000,4,1,35120.0,4
200000,4,1,35008.0,4
300000,4,1,34976.0,4
400000,4,1,35024.0,4
500000,4,1,35056.0,4
600000,4,1,35072.0,4
700000,4,1,35104.0,4
800000,4,1,34960.0,4
900000,4,1,34976.0,4
1000000,4,1,35072.0,4
