Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,N/A,N/A,N/A,N/A
19000,N/A,N/A,N/A,N/A
20000,N/A,N/A,N/A,N/A
21000,N/A,N/A,N/A,N/A
22000,N/A,N/A,N/A,N/A
23000,N/A,N/A,N/A,N/A
24000,1,3,22960.0,1
25000,1,3,23072.0,1
30000,2,2,27632.0,2
35000,3,1,30928.0,4
40000,3,1,30976.0,4
45000,3,1,30816.0,4
50000,3,1,30816.0,4
60000,3,1,31008.0,4
70000,3,1,30944.0,4
80000,3,1,30912.0,4
90000,3,1,30880.0,4
100000,3,1,30912.0,4
200000,3,1,30928.0,4
300000,3,1,31072.0,4
400000,3,1,30912.0,4
500000,3,1,30816.0,4
600000,3,1,30960.0,4
700000,3,1,30816.0,4
800000,3,1,30816.0,4
900000,3,1,30816.0,4
1000000,3,1,31120.0,4
