Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,N/A,N/A,N/A,N/A
19000,N/A,N/A,N/A,N/A
20000,N/A,N/A,N/A,N/A
21000,N/A,N/A,N/A,N/A
22000,N/A,N/A,N/A,N/A
23000,N/A,N/A,N/A,N/A
24000,N/A,N/A,N/A,N/A
25000,N/A,N/A,N/A,N/A
30000,N/A,N/A,N/A,N/A
35000,N/A,N/A,N/A,N/A
40000,N/A,N/A,N/A,N/A
45000,N/A,N/A,N/A,N/A
50000,2,2,49152.0,2
60000,2,2,47536.0,3
70000,2,2,41568.0,4
80000,2,2,41472.0,4
90000,2,2,43104.0,4
100000,2,2,41472.0,4
200000,2,2,51760.0,4
300000,2,2,49104.0,4
400000,2,2,54304.0,4
500000,2,2,49168.0,4
600000,2,2,59616.0,4
700000,2,2,47520.0,4
800000,2,2,55152.0,4
900000,2,2,40080.0,4
1000000,2,2,40080.0,4
