Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,2,2,1392.0,3
5000,2,2,1392.0,3
6000,2,2,1392.0,3
7000,2,2,1392.0,3
8000,2,2,1392.0,3
9000,2,2,1392.0,3
10000,2,2,1392.0,3
11000,2,2,1392.0,3
12000,2,2,1392.0,3
13000,2,2,1392.0,3
14000,2,2,1392.0,3
15000,2,2,1392.0,3
16000,2,2,1392.0,3
17000,2,2,1392.0,3
18000,2,2,1392.0,3
19000,2,2,1392.0,3
20000,2,2,1392.0,3
21000,2,2,1392.0,3
22000,2,2,1392.0,3
23000,2,2,1392.0,3
24000,2,2,1392.0,3
25000,2,2,1392.0,3
30000,2,2,1392.0,3
35000,2,2,1392.0,3
40000,2,2,1392.0,3
45000,2,2,1392.0,3
50000,2,2,1392.0,3
60000,2,2,1392.0,3
70000,2,2,1392.0,3
80000,2,2,1520.0,3
90000,2,2,1392.0,3
100000,2,2,1392.0,3
200000,2,2,1392.0,3
300000,2,2,1392.0,3
400000,2,2,1392.0,3
500000,2,2,1392.0,3
600000,2,2,1392.0,3
700000,2,2,1392.0,3
800000,2,2,1392.0,3
900000,2,2,1392.0,3
1000000,2,2,1392.0,3
