Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,1,4,2160.0,7
6000,1,4,2112.0,7
7000,1,4,2112.0,7
8000,1,4,2112.0,7
9000,1,4,2112.0,7
10000,1,4,2112.0,7
11000,1,4,2160.0,7
12000,1,4,2112.0,7
13000,1,4,2112.0,7
14000,1,4,2112.0,7
15000,1,4,2112.0,7
16000,1,4,2112.0,7
17000,1,4,2112.0,7
18000,1,4,2112.0,7
19000,1,4,2112.0,7
20000,1,4,2112.0,7
21000,1,4,2112.0,7
22000,1,4,2112.0,7
23000,1,4,2112.0,7
24000,1,4,2112.0,7
25000,1,4,2112.0,7
30000,1,4,2112.0,7
35000,1,4,2112.0,7
40000,1,4,2112.0,7
45000,1,4,2112.0,7
50000,1,4,2112.0,7
60000,1,4,2144.0,7
70000,1,4,2112.0,7
80000,1,4,2112.0,7
90000,1,4,2112.0,7
100000,1,4,2208.0,7
200000,1,4,2160.0,7
300000,1,4,2208.0,7
400000,1,4,2176.0,7
500000,1,4,2208.0,7
600000,1,4,2304.0,7
700000,1,4,2192.0,7
800000,1,4,2144.0,7
900000,1,4,2160.0,7
1000000,1,4,2224.0,7
