Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,7,1,3376.0,7
6000,7,1,3232.0,7
7000,7,1,3232.0,7
8000,7,1,3232.0,7
9000,7,1,3232.0,7
10000,7,1,3232.0,7
11000,7,1,3232.0,7
12000,7,1,3232.0,7
13000,7,1,3232.0,7
14000,7,1,3408.0,7
15000,7,1,3232.0,7
16000,7,1,3232.0,7
17000,7,1,3232.0,7
18000,7,1,3232.0,7
19000,7,1,3344.0,7
20000,7,1,3232.0,7
21000,7,1,3328.0,7
22000,7,1,3232.0,7
23000,7,1,3232.0,7
24000,7,1,3232.0,7
25000,7,1,3232.0,7
30000,7,1,3312.0,7
35000,7,1,3232.0,7
40000,7,1,3312.0,7
45000,7,1,3232.0,7
50000,7,1,3232.0,7
60000,7,1,3232.0,7
70000,7,1,3232.0,7
80000,7,1,3232.0,7
90000,7,1,3232.0,7
100000,7,1,3232.0,7
200000,7,1,3232.0,7
300000,7,1,3232.0,7
400000,7,1,3232.0,7
500000,7,1,3232.0,7
600000,7,1,3232.0,7
700000,7,1,3232.0,7
800000,7,1,3232.0,7
900000,7,1,3232.0,7
1000000,7,1,3232.0,7
