Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,4,2,2800.0,7
6000,4,2,2800.0,7
7000,4,2,2880.0,7
8000,4,2,2928.0,7
9000,4,2,2864.0,7
10000,4,2,2800.0,7
11000,4,2,2800.0,7
12000,4,2,2800.0,7
13000,4,2,2800.0,7
14000,4,2,2864.0,7
15000,4,2,2800.0,7
16000,4,2,2800.0,7
17000,4,2,2880.0,7
18000,4,2,2960.0,7
19000,4,2,2864.0,7
20000,4,2,2864.0,7
21000,4,2,2800.0,7
22000,4,2,2816.0,7
23000,4,2,2896.0,7
24000,4,2,2800.0,7
25000,4,2,2880.0,7
30000,4,2,2864.0,7
35000,4,2,2848.0,7
40000,4,2,2864.0,7
45000,4,2,2800.0,7
50000,4,2,2800.0,7
60000,4,2,2800.0,7
70000,4,2,2800.0,7
80000,4,2,2800.0,7
90000,4,2,2800.0,7
100000,4,2,2800.0,7
200000,4,2,2960.0,7
300000,4,2,2928.0,7
400000,4,2,2800.0,7
500000,4,2,2800.0,7
600000,4,2,2800.0,7
700000,4,2,2800.0,7
800000,4,2,3072.0,7
900000,4,2,3184.0,7
1000000,4,2,2800.0,7
