Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,6,4,3344.0,7
6000,6,4,3488.0,7
7000,6,4,3520.0,7
8000,6,4,3344.0,7
9000,6,4,3584.0,7
10000,6,4,3584.0,7
11000,6,4,3488.0,7
12000,6,4,3488.0,7
13000,6,4,3344.0,7
14000,6,4,3344.0,7
15000,6,4,3344.0,7
16000,6,4,3344.0,7
17000,6,4,3344.0,7
18000,6,4,3344.0,7
19000,6,4,3488.0,7
20000,6,4,3344.0,7
21000,6,4,3344.0,7
22000,6,4,3520.0,7
23000,6,4,3344.0,7
24000,6,4,3344.0,7
25000,6,4,3344.0,7
30000,6,4,3344.0,7
35000,6,4,3344.0,7
40000,6,4,3344.0,7
45000,6,4,3488.0,7
50000,6,4,3344.0,7
60000,6,4,3344.0,7
70000,6,4,3344.0,7
80000,6,4,3344.0,7
90000,6,4,3520.0,7
100000,6,4,3488.0,7
200000,6,4,3520.0,7
300000,6,4,3344.0,7
400000,6,4,3584.0,7
500000,6,4,3344.0,7
600000,6,4,3344.0,7
700000,6,4,3344.0,7
800000,6,4,3344.0,7
900000,6,4,3520.0,7
1000000,6,4,3504.0,7
