Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,5,3,3616.0,7
6000,5,3,3920.0,7
7000,5,3,3792.0,7
8000,5,3,3792.0,7
9000,5,3,3616.0,7
10000,5,3,3616.0,7
11000,5,3,3616.0,7
12000,5,3,3792.0,7
13000,5,3,3616.0,7
14000,5,3,3792.0,7
15000,5,3,3792.0,7
16000,5,3,3616.0,7
17000,5,3,3616.0,7
18000,5,3,3616.0,7
19000,5,3,3616.0,7
20000,5,3,3792.0,7
21000,5,3,3792.0,7
22000,5,3,3808.0,7
23000,5,3,3616.0,7
24000,5,3,3744.0,7
25000,5,3,3616.0,7
30000,5,3,3616.0,7
35000,5,3,3616.0,7
40000,5,3,3616.0,7
45000,5,3,3792.0,7
50000,5,3,3792.0,7
60000,5,3,3744.0,7
70000,5,3,3792.0,7
80000,5,3,3616.0,7
90000,5,3,3792.0,7
100000,5,3,3616.0,7
200000,5,3,3616.0,7
300000,5,3,3616.0,7
400000,5,3,3792.0,7
500000,5,3,3616.0,7
600000,5,3,3808.0,7
700000,5,3,3792.0,7
800000,5,3,3744.0,7
900000,5,3,3792.0,7
1000000,5,3,3792.0,7
