K,Iteration,User Time (s),Memory (KB),Passes
1,1,5.58,43084.0,4
1,2,5.3,43056.0,4
1,3,5.52,42980.0,4
1,4,5.37,43160.0,4
1,5,5.59,43036.0,4
1,6,5.15,43032.0,4
1,7,5.38,42984.0,4
1,8,5.52,42988.0,4
1,9,5.3,43160.0,4
1,10,5.52,43120.0,4
1,11,5.69,42984.0,4
1,12,5.52,43160.0,4
1,13,5.47,43160.0,4
1,14,5.66,43024.0,4
1,15,5.48,43036.0,4
1,16,5.6,43000.0,4
1,17,5.3,43064.0,4
1,18,5.74,43084.0,4
1,19,5.44,42980.0,4
1,20,5.17,43040.0,4
1,21,5.25,43088.0,4
1,22,5.77,43008.0,4
1,23,5.34,43160.0,4
1,24,5.68,42988.0,4
1,25,5.14,43052.0,4
1,26,5.31,43040.0,4
1,27,5.21,43160.0,4
1,28,5.28,43036.0,4
1,29,5.25,43100.0,4
1,30,5.53,42984.0,4
1,31,5.57,43084.0,4
1,32,5.36,43020.0,4
1,33,5.19,43092.0,4
1,34,5.78,43064.0,4
1,35,5.58,43156.0,4
1,36,5.53,43140.0,4
1,37,5.39,43040.0,4
1,38,5.74,43136.0,4
1,39,5.55,43160.0,4
1,40,5.3,43076.0,4
1,41,5.74,43024.0,4
1,42,5.45,43072.0,4
1,43,5.7,43084.0,4
1,44,5.44,43152.0,4
1,45,5.73,43020.0,4
1,46,5.54,43036.0,4
1,47,5.32,43068.0,4
1,48,5.44,43156.0,4
1,49,5.74,43076.0,4
1,50,5.72,43092.0,4
