K,Iteration,User Time (s),Memory (KB),Passes
10,1,6.54,141568.0,3
10,2,6.49,141516.0,3
10,3,6.43,141632.0,3
10,4,6.76,141556.0,3
10,5,6.44,141572.0,3
10,6,6.38,141620.0,3
10,7,6.66,141568.0,3
10,8,19.25,141564.0,3
10,9,6.59,141532.0,3
10,10,6.52,141648.0,3
10,11,6.78,141516.0,3
10,12,6.77,141564.0,3
10,13,20.14,141484.0,3
10,14,6.42,141480.0,3
10,15,6.84,141536.0,3
10,16,6.33,141656.0,3
10,17,6.48,141544.0,3
10,18,19.72,141500.0,3
10,19,6.58,141504.0,3
10,20,6.49,141476.0,3
10,21,6.38,141512.0,3
10,22,6.66,141568.0,3
10,23,6.55,141516.0,3
10,24,6.22,141496.0,3
10,25,6.3,141608.0,3
10,26,6.43,141564.0,3
10,27,6.59,141604.0,3
10,28,6.18,141568.0,3
10,29,18.93,141464.0,3
10,30,6.57,141496.0,3
10,31,20.51,141572.0,3
10,32,20.13,141572.0,3
10,33,6.62,141568.0,3
10,34,20.3,141604.0,3
10,35,6.68,141516.0,3
10,36,17.74,141480.0,3
10,37,6.97,141600.0,3
10,38,19.89,141568.0,3
10,39,6.57,141564.0,3
10,40,19.7,141592.0,3
10,41,6.76,141520.0,3
10,42,20.62,141640.0,3
10,43,19.43,141512.0,3
10,44,6.49,141564.0,3
10,45,6.43,141604.0,3
10,46,6.38,141472.0,3
10,47,6.56,141604.0,3
10,48,6.17,141464.0,3
10,49,6.63,141528.0,3
10,50,6.65,141548.0,3
