K,Iteration,User Time (s),Memory (KB),Passes
9,1,19.93,129540.0,3
9,2,19.53,129680.0,3
9,3,19.05,129640.0,3
9,4,20.12,129684.0,3
9,5,18.56,129688.0,3
9,6,19.08,129632.0,3
9,7,20.17,129760.0,3
9,8,20.05,129700.0,3
9,9,19.68,129640.0,3
9,10,19.08,129692.0,3
9,11,19.2,129636.0,3
9,12,20.06,129684.0,3
9,13,20.68,129584.0,3
9,14,19.94,129740.0,3
9,15,18.73,129748.0,3
9,16,20.08,129640.0,3
9,17,19.55,129656.0,3
9,18,19.39,129684.0,3
9,19,19.59,129656.0,3
9,20,20.29,129720.0,3
9,21,20.2,129632.0,3
9,22,19.74,129760.0,3
9,23,18.55,129600.0,3
9,24,18.61,129768.0,3
9,25,18.65,129684.0,3
9,26,19.31,129688.0,3
9,27,19.7,129624.0,3
9,28,20.04,129740.0,3
9,29,19.86,129772.0,3
9,30,19.57,129696.0,3
9,31,20.06,129772.0,3
9,32,20.69,129744.0,3
9,33,19.15,129656.0,3
9,34,19.34,129668.0,3
9,35,19.29,129688.0,3
9,36,19.86,129632.0,3
9,37,18.55,129760.0,3
9,38,20.1,129588.0,3
9,39,19.76,129736.0,3
9,40,19.47,129668.0,3
9,41,18.15,129724.0,3
9,42,19.68,129756.0,3
9,43,18.69,129640.0,3
9,44,19.69,129748.0,3
9,45,20.08,129760.0,3
9,46,19.29,129648.0,3
9,47,20.23,129596.0,3
9,48,19.62,129760.0,3
9,49,19.37,129688.0,3
9,50,20.08,129752.0,3
