K,Iteration,User Time (s),Memory (KB),Passes
5,1,14.83,79172.0,4
5,2,14.07,79256.0,4
5,3,14.68,79352.0,4
5,4,15.01,79324.0,4
5,5,15.34,79196.0,4
5,6,15.49,79344.0,4
5,7,13.37,79348.0,4
5,8,15.5,79328.0,4
5,9,14.28,79172.0,4
5,10,13.92,79192.0,4
5,11,15.5,79176.0,4
5,12,15.23,79252.0,4
5,13,15.19,79196.0,4
5,14,14.65,79260.0,4
5,15,15.02,79272.0,4
5,16,15.16,79316.0,4
5,17,14.23,79144.0,4
5,18,13.95,79264.0,4
5,19,14.36,79208.0,4
5,20,14.71,79212.0,4
5,21,14.94,79296.0,4
5,22,15.41,79168.0,4
5,23,13.71,79336.0,4
5,24,14.62,79340.0,4
5,25,14.37,79316.0,4
5,26,15.26,79192.0,4
5,27,14.78,79344.0,4
5,28,13.23,79276.0,4
5,29,14.86,79212.0,4
5,30,15.23,79204.0,4
5,31,15.27,79176.0,4
5,32,14.83,79348.0,4
5,33,15.46,79352.0,4
5,34,14.93,79312.0,4
5,35,14.91,79264.0,4
5,36,15.22,79340.0,4
5,37,15.15,79168.0,4
5,38,15.54,79172.0,4
5,39,14.27,79208.0,4
5,40,14.66,79200.0,4
5,41,14.52,79268.0,4
5,42,14.0,79240.0,4
5,43,14.31,79208.0,4
5,44,14.23,79276.0,4
5,45,13.64,79220.0,4
5,46,14.0,79160.0,4
5,47,14.47,79256.0,4
5,48,14.57,79240.0,4
5,49,14.23,79348.0,4
5,50,14.97,79268.0,4
