K,Iteration,User Time (s),Memory (KB),Passes
5,1,5.12,89916.0,5
5,2,5.01,90008.0,5
5,3,5.51,89888.0,5
5,4,5.22,89884.0,5
5,5,5.46,89872.0,5
5,6,5.54,89848.0,5
5,7,4.97,89888.0,5
5,8,5.07,89928.0,5
5,9,5.23,89980.0,5
5,10,5.02,89880.0,5
5,11,4.97,89908.0,5
5,12,5.19,89916.0,5
5,13,5.18,89940.0,5
5,14,5.4,89848.0,5
5,15,4.91,89904.0,5
5,16,5.45,90028.0,5
5,17,4.93,89920.0,5
5,18,4.98,89868.0,5
5,19,4.89,89872.0,5
5,20,5.44,89852.0,5
5,21,4.89,89884.0,5
5,22,5.11,89836.0,5
5,23,4.99,89924.0,5
5,24,4.84,90024.0,5
5,25,4.9,89992.0,5
5,26,5.18,90020.0,5
5,27,5.32,89888.0,5
5,28,4.78,89936.0,5
5,29,5.39,89924.0,5
5,30,5.05,89832.0,5
5,31,5.46,89948.0,5
5,32,5.33,90028.0,5
5,33,5.22,90012.0,5
5,34,4.91,90008.0,5
5,35,4.93,89888.0,5
5,36,5.03,90020.0,5
5,37,5.32,89944.0,5
5,38,5.02,89944.0,5
5,39,5.53,89884.0,5
5,40,5.29,90028.0,5
5,41,4.89,89940.0,5
5,42,5.0,90032.0,5
5,43,4.99,89924.0,5
5,44,5.41,89872.0,5
5,45,4.97,89836.0,5
5,46,5.52,89992.0,5
5,47,5.23,90028.0,5
5,48,4.94,90032.0,5
5,49,5.55,89996.0,5
5,50,4.95,90008.0,5
