K,Iteration,User Time (s),Memory (KB),Passes
10,1,3.11,173208.0,2
10,2,3.19,173276.0,2
10,3,3.24,173284.0,2
10,4,3.06,173368.0,2
10,5,3.24,173276.0,2
10,6,3.42,173244.0,2
10,7,3.24,173280.0,2
10,8,3.16,173316.0,2
10,9,3.26,173260.0,2
10,10,3.04,173320.0,2
10,11,3.31,173360.0,2
10,12,3.08,173244.0,2
10,13,3.04,173348.0,2
10,14,3.12,173348.0,2
10,15,3.03,173360.0,2
10,16,3.22,173208.0,2
10,17,3.27,173332.0,2
10,18,3.12,173288.0,2
10,19,3.22,173264.0,2
10,20,3.26,173228.0,2
10,21,3.17,173184.0,2
10,22,3.23,173228.0,2
10,23,2.99,173284.0,2
10,24,3.14,173256.0,2
10,25,3.06,173140.0,2
10,26,3.07,173284.0,2
10,27,3.08,173224.0,2
10,28,3.12,173184.0,2
10,29,3.27,173184.0,2
10,30,3.11,173280.0,2
10,31,3.54,173284.0,2
10,32,3.3,173332.0,2
10,33,3.11,173244.0,2
10,34,3.11,173336.0,2
10,35,3.07,173220.0,2
10,36,3.04,173224.0,2
10,37,3.17,173276.0,2
10,38,3.25,173360.0,2
10,39,3.15,173364.0,2
10,40,3.06,173264.0,2
10,41,3.25,173172.0,2
10,42,3.11,173280.0,2
10,43,3.14,173184.0,2
10,44,3.33,173316.0,2
10,45,3.04,173188.0,2
10,46,3.34,173264.0,2
10,47,3.18,173244.0,2
10,48,3.27,173256.0,2
10,49,3.04,173264.0,2
10,50,3.14,173256.0,2
