K,Iteration,User Time (s),Memory (KB),Passes
8,1,3.68,127856.0,3
8,2,3.81,127856.0,3
8,3,3.9,127832.0,3
8,4,4.19,127760.0,3
8,5,3.97,127856.0,3
8,6,3.83,127780.0,3
8,7,3.84,127852.0,3
8,8,4.06,127852.0,3
8,9,3.87,127936.0,3
8,10,3.66,127776.0,3
8,11,3.99,127924.0,3
8,12,3.7,127908.0,3
8,13,3.84,127944.0,3
8,14,4.0,127856.0,3
8,15,3.83,127748.0,3
8,16,3.79,127924.0,3
8,17,4.41,127852.0,3
8,18,3.87,127760.0,3
8,19,3.93,127800.0,3
8,20,3.89,127772.0,3
8,21,3.84,127824.0,3
8,22,3.68,127760.0,3
8,23,3.85,127832.0,3
8,24,4.0,127784.0,3
8,25,4.11,127784.0,3
8,26,4.04,127936.0,3
8,27,3.85,127748.0,3
8,28,3.99,127892.0,3
8,29,4.08,127936.0,3
8,30,4.08,127892.0,3
8,31,3.98,127784.0,3
8,32,3.96,127796.0,3
8,33,3.9,127784.0,3
8,34,4.14,127924.0,3
8,35,3.83,127760.0,3
8,36,3.72,127936.0,3
8,37,4.01,127856.0,3
8,38,4.05,127800.0,3
8,39,3.78,127892.0,3
8,40,3.94,127764.0,3
8,41,4.03,127944.0,3
8,42,4.02,127748.0,3
8,43,4.01,127852.0,3
8,44,3.92,127856.0,3
8,45,4.22,127804.0,3
8,46,4.11,127840.0,3
8,47,3.84,127804.0,3
8,48,3.62,127924.0,3
8,49,4.27,127908.0,3
8,50,3.97,127864.0,3
