K,Iteration,User Time (s),Memory (KB),Passes
7,1,1.17,122236.0,2
7,2,1.16,122340.0,2
7,3,1.1,122288.0,2
7,4,1.11,122220.0,2
7,5,1.1,122284.0,2
7,6,1.11,122352.0,2
7,7,1.16,122252.0,2
7,8,1.08,122356.0,2
7,9,1.16,122264.0,2
7,10,1.15,122320.0,2
7,11,1.12,122356.0,2
7,12,1.15,122264.0,2
7,13,1.16,122220.0,2
7,14,1.11,122216.0,2
7,15,1.12,122292.0,2
7,16,1.13,122288.0,2
7,17,1.12,122288.0,2
7,18,1.16,122292.0,2
7,19,1.19,122292.0,2
7,20,1.12,122204.0,2
7,21,1.09,122296.0,2
7,22,1.16,122188.0,2
7,23,1.12,122360.0,2
7,24,1.12,122252.0,2
7,25,1.11,122300.0,2
7,26,1.12,122284.0,2
7,27,1.07,122368.0,2
7,28,1.1,122348.0,2
7,29,1.16,122236.0,2
7,30,1.08,122276.0,2
7,31,1.12,122204.0,2
7,32,0.62,122352.0,2
7,33,0.63,122232.0,2
7,34,0.56,122236.0,2
7,35,0.63,122140.0,2
7,36,0.61,122288.0,2
7,37,0.64,122360.0,2
7,38,0.66,122240.0,2
7,39,0.63,122300.0,2
7,40,0.65,122336.0,2
7,41,0.67,122356.0,2
7,42,0.65,122280.0,2
7,43,0.66,122352.0,2
7,44,0.65,122360.0,2
7,45,0.65,122220.0,2
7,46,0.61,122220.0,2
7,47,0.65,122224.0,2
7,48,0.68,122292.0,2
7,49,0.59,122216.0,2
7,50,0.65,122236.0,2
