K,Iteration,User Time (s),Memory (KB),Passes
10,1,0.49,125656.0,1
10,2,0.47,125628.0,1
10,3,0.67,125792.0,1
10,4,0.4,125680.0,1
10,5,0.65,125720.0,1
10,6,0.43,125696.0,1
10,7,0.66,125672.0,1
10,8,0.43,125660.0,1
10,9,0.67,125780.0,1
10,10,0.42,125656.0,1
10,11,0.67,125716.0,1
10,12,0.64,125660.0,1
10,13,0.4,125680.0,1
10,14,0.67,125764.0,1
10,15,0.44,125656.0,1
10,16,0.43,125808.0,1
10,17,0.68,125804.0,1
10,18,0.71,125720.0,1
10,19,0.7,125736.0,1
10,20,0.38,125720.0,1
10,21,0.66,125676.0,1
10,22,0.69,125732.0,1
10,23,0.46,125760.0,1
10,24,0.42,125676.0,1
10,25,0.41,125636.0,1
10,26,0.47,125636.0,1
10,27,0.46,125728.0,1
10,28,0.4,125728.0,1
10,29,0.47,125624.0,1
10,30,0.42,125724.0,1
10,31,0.45,125684.0,1
10,32,0.42,125724.0,1
10,33,0.44,125724.0,1
10,34,0.4,125736.0,1
10,35,0.46,125676.0,1
10,36,0.44,125736.0,1
10,37,0.47,125676.0,1
10,38,0.45,125708.0,1
10,39,0.46,125792.0,1
10,40,0.42,125760.0,1
10,41,0.46,125736.0,1
10,42,0.4,125764.0,1
10,43,0.5,125708.0,1
10,44,0.42,125660.0,1
10,45,0.37,125728.0,1
10,46,0.39,125800.0,1
10,47,0.41,125628.0,1
10,48,0.44,125780.0,1
10,49,0.39,125724.0,1
10,50,0.42,125708.0,1
