K,Iteration,User Time (s),Memory (KB),Passes
3,1,3.72,104960.0,4
3,2,3.76,105008.0,4
3,3,3.7,104852.0,4
3,4,3.82,104952.0,4
3,5,3.83,105080.0,4
3,6,3.83,104944.0,4
3,7,3.82,104952.0,4
3,8,3.74,105012.0,4
3,9,3.79,105060.0,4
3,10,3.85,104912.0,4
3,11,4.17,104976.0,4
3,12,3.84,105004.0,4
3,13,4.08,105000.0,4
3,14,3.83,105004.0,4
3,15,3.83,105012.0,4
3,16,4.09,104936.0,4
3,17,3.76,104952.0,4
3,18,4.24,105004.0,4
3,19,3.74,105080.0,4
3,20,4.08,104904.0,4
3,21,4.16,104944.0,4
3,22,4.1,104996.0,4
3,23,4.11,104952.0,4
3,24,3.72,104972.0,4
3,25,4.1,105096.0,4
3,26,3.75,105004.0,4
3,27,4.12,105064.0,4
3,28,4.1,105096.0,4
3,29,4.09,104872.0,4
3,30,3.74,104992.0,4
3,31,4.19,104908.0,4
3,32,3.77,104992.0,4
3,33,4.14,104996.0,4
3,34,4.09,105012.0,4
3,35,4.07,105088.0,4
3,36,3.82,105076.0,4
3,37,4.14,104972.0,4
3,38,3.8,104908.0,4
3,39,4.17,104856.0,4
3,40,4.13,104900.0,4
3,41,4.2,104972.0,4
3,42,3.89,105008.0,4
3,43,4.26,104916.0,4
3,44,3.83,104900.0,4
3,45,4.21,105088.0,4
3,46,4.2,104952.0,4
3,47,4.24,105060.0,4
3,48,4.13,104932.0,4
3,49,3.82,104988.0,4
3,50,4.1,105064.0,4
