K,Iteration,User Time (s),Memory (KB),Passes
7,1,71.45,124144.0,1
7,2,69.81,124148.0,1
7,3,69.88,124080.0,1
7,4,70.07,124096.0,1
7,5,68.09,124184.0,1
7,6,73.23,124044.0,1
7,7,73.4,124072.0,1
7,8,72.14,124096.0,1
7,9,71.0,124120.0,1
7,10,70.66,124220.0,1
7,11,70.77,124140.0,1
7,12,80.68,124052.0,1
7,13,78.27,124216.0,1
7,14,80.7,124180.0,1
7,15,72.08,124076.0,1
7,16,73.61,124000.0,1
7,17,67.32,124148.0,1
7,18,71.61,124112.0,1
7,19,70.26,124140.0,1
7,20,74.84,124152.0,1
7,21,67.76,124228.0,1
7,22,70.34,124144.0,1
7,23,71.04,124052.0,1
7,24,69.6,124040.0,1
7,25,73.24,124076.0,1
7,26,68.07,124124.0,1
7,27,73.26,124144.0,1
7,28,69.52,124208.0,1
7,29,68.26,124076.0,1
7,30,69.98,124044.0,1
7,31,67.92,124140.0,1
7,32,77.0,124124.0,1
7,33,78.28,124144.0,1
7,34,79.29,124176.0,1
7,35,76.16,124044.0,1
7,36,67.62,124112.0,1
7,37,73.71,124080.0,1
7,38,67.62,124152.0,1
7,39,71.07,124072.0,1
7,40,69.44,124112.0,1
7,41,68.17,124120.0,1
7,42,69.25,124176.0,1
7,43,73.38,124196.0,1
7,44,69.73,124088.0,1
7,45,69.54,124224.0,1
7,46,70.16,124056.0,1
7,47,73.49,124196.0,1
7,48,72.77,124076.0,1
7,49,67.77,124060.0,1
7,50,72.69,124080.0,1
