K,Iteration,User Time (s),Memory (KB),Passes
6,1,36.63,111216.0,1
6,2,35.46,111264.0,1
6,3,36.01,111184.0,1
6,4,35.29,111256.0,1
6,5,35.08,111196.0,1
6,6,35.76,111124.0,1
6,7,34.61,111268.0,1
6,8,35.64,111284.0,1
6,9,36.51,111184.0,1
6,10,36.39,111204.0,1
6,11,35.24,111156.0,1
6,12,35.54,111248.0,1
6,13,35.86,111280.0,1
6,14,36.29,111128.0,1
6,15,36.17,111156.0,1
6,16,36.39,111256.0,1
6,17,35.78,111176.0,1
6,18,36.81,111192.0,1
6,19,36.89,111244.0,1
6,20,41.92,111280.0,1
6,21,42.04,111108.0,1
6,22,40.45,111204.0,1
6,23,36.71,111260.0,1
6,24,36.57,111120.0,1
6,25,36.98,111152.0,1
6,26,36.66,111184.0,1
6,27,36.62,111212.0,1
6,28,37.2,111184.0,1
6,29,37.09,111208.0,1
6,30,35.21,111156.0,1
6,31,35.94,111284.0,1
6,32,35.18,111244.0,1
6,33,35.62,111188.0,1
6,34,35.93,111292.0,1
6,35,35.73,111152.0,1
6,36,35.88,111164.0,1
6,37,36.27,111204.0,1
6,38,36.01,111248.0,1
6,39,36.53,111160.0,1
6,40,35.13,111244.0,1
6,41,34.94,111284.0,1
6,42,35.63,111124.0,1
6,43,35.63,111208.0,1
6,44,35.22,111112.0,1
6,45,35.44,111272.0,1
6,46,36.11,111160.0,1
6,47,38.93,111296.0,1
6,48,42.6,111112.0,1
6,49,41.15,111204.0,1
6,50,41.71,111200.0,1
