K,Iteration,User Time (s),Memory (KB),Passes
2,1,16.39,71076.0,3
2,2,17.03,70996.0,3
2,3,30.49,71052.0,3
2,4,29.04,71144.0,3
2,5,28.98,71120.0,3
2,6,31.41,71144.0,3
2,7,27.54,71160.0,3
2,8,28.85,71156.0,3
2,9,29.26,71056.0,3
2,10,28.27,71024.0,3
2,11,31.31,71072.0,3
2,12,28.09,71032.0,3
2,13,29.01,71076.0,3
2,14,26.39,71080.0,3
2,15,26.28,71084.0,3
2,16,25.93,71132.0,3
2,17,25.6,71056.0,3
2,18,26.91,71076.0,3
2,19,27.33,71140.0,3
2,20,26.07,71080.0,3
2,21,26.23,71160.0,3
2,22,25.97,70944.0,3
2,23,26.06,71024.0,3
2,24,25.6,71068.0,3
2,25,26.12,71024.0,3
2,26,26.38,71112.0,3
2,27,26.0,71072.0,3
2,28,27.45,71088.0,3
2,29,27.17,71024.0,3
2,30,28.48,70988.0,3
2,31,28.05,71044.0,3
2,32,27.22,70992.0,3
2,33,28.01,71252.0,3
2,34,26.39,71076.0,3
2,35,25.75,71116.0,3
2,36,25.74,71160.0,3
2,37,26.34,71080.0,3
2,38,25.36,71084.0,3
2,39,26.31,71032.0,3
2,40,26.44,71088.0,3
2,41,25.88,71084.0,3
2,42,26.16,71008.0,3
2,43,25.34,71056.0,3
2,44,25.56,71056.0,3
2,45,25.27,71052.0,3
2,46,25.83,71044.0,3
2,47,25.51,71148.0,3
2,48,26.41,71076.0,3
2,49,25.45,71080.0,3
2,50,25.83,71092.0,3
