K,Iteration,User Time (s),Memory (KB),Passes
2,1,16.6,52440.0,5
2,2,17.14,52388.0,5
2,3,18.3,52440.0,5
2,4,17.7,52352.0,5
2,5,16.59,52348.0,5
2,6,17.59,52364.0,5
2,7,16.28,52412.0,5
2,8,17.61,52412.0,5
2,9,18.36,52440.0,5
2,10,16.8,52436.0,5
2,11,17.3,52400.0,5
2,12,18.11,52428.0,5
2,13,19.08,52424.0,5
2,14,18.99,52424.0,5
2,15,16.77,52336.0,5
2,16,16.84,52416.0,5
2,17,17.82,52392.0,5
2,18,17.36,52456.0,5
2,19,20.21,52388.0,5
2,20,17.06,52468.0,5
2,21,16.69,52464.0,5
2,22,19.29,52368.0,5
2,23,16.46,52480.0,5
2,24,18.45,52424.0,5
2,25,17.77,52464.0,5
2,26,17.78,52456.0,5
2,27,17.01,52376.0,5
2,28,17.0,52472.0,5
2,29,17.26,52488.0,5
2,30,17.78,52488.0,5
2,31,17.5,52416.0,5
2,32,17.79,52468.0,5
2,33,18.66,52436.0,5
2,34,17.41,52432.0,5
2,35,17.77,52480.0,5
2,36,19.65,52436.0,5
2,37,17.66,52476.0,5
2,38,104.73,51772.0,5
2,39,170.52,51060.0,5
2,40,74.07,52332.0,5
2,41,113.26,51900.0,5
2,42,177.42,51400.0,5
2,43,136.53,52136.0,5
2,44,86.3,51980.0,5
2,45,173.02,51660.0,5
2,46,202.98,52060.0,5
2,47,208.27,51952.0,5
2,48,204.0,52180.0,5
2,49,183.96,51872.0,5
2,50,160.33,51772.0,5
