Running experiments with 10000 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.16,3916
Running kpath variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.16,11900
Running klev variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.22,4044
Running klev variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.08,11820
Running kpath variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.51,3880
Running kpath variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.21,18976
Running klev variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.68,3896
Running klev variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.26,18980
Running kpath variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.66,3960
Running kpath variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.46,26044
Running klev variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 3.04, Time/Memory: 1.15,3960
Running klev variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.44,25896
Running kpath variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.94,3908
Running kpath variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.60,32836
Running klev variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 3.07, Time/Memory: 1.62,3976
Running klev variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.53,32832
Running kpath variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.41,3960
Running kpath variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.82,39952
Running klev variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 3.1, Time/Memory: 2.17,3888
Running klev variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.78,39916
Running kpath variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.78,3968
Running kpath variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.98,46456
Running klev variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 3.12, Time/Memory: 2.82,3780
Running klev variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.89,46348
Running kpath variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.09,3984
Running kpath variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.10,53316
Running klev variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 3.15, Time/Memory: 3.24,3948
Running klev variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.95,53344
Running kpath variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.52,3844
Running kpath variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.01,60092
Running klev variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 3.17, Time/Memory: 3.79,4080
Running klev variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.08,59976
Running kpath variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.70,4016
Running kpath variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.39,67120
Running klev variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 3.2, Time/Memory: 5.19,3924
Running klev variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.42,67056
Running kpath variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 3.16,4072
Running kpath variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.63,73800
Running klev variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 3.22, Time/Memory: 5.71,4012
Running klev variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.57,73772
Running kpath variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 6.14,4092
Running kpath variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.42,107480
Running klev variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 3.32, Time/Memory: 9.68,4016
Running klev variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.31,107624
Running kpath variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 8.58,4048
Running kpath variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.56,144076
Running klev variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 3.39, Time/Memory: 15.10,4016
Running klev variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.23,144268
Running kpath variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 10.50,4248
Running kpath variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 4.07,179384
Running klev variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 3.45, Time/Memory: 20.01,4048
Running klev variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 4.65,179420
Running kpath variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 12.56,4336
Running kpath variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 5.63,214244
Running klev variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 3.51, Time/Memory: 21.16,4116
Running klev variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 5.94,214404
Running kpath variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 14.15,4340
Running kpath variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 6.38,248444
Running klev variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 3.55, Time/Memory: 27.86,4092
Running klev variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 6.98,248576
Running kpath variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 17.64,4444
Running kpath variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 8.19,283224
Running klev variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 3.59, Time/Memory: 30.57,4164
Running klev variant N with N=400, sparsity=2, seed=1729...
