Running experiments with 1000 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,3984
Running kpath variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3976
Running klev variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,3976
Running klev variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4024
Running kpath variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.04,3916
Running kpath variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,4004
Running klev variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.07,3976
Running klev variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.04,3928
Running kpath variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.09,3932
Running kpath variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,3924
Running klev variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 3.06, Time/Memory: 0.13,3800
Running klev variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,3888
Running kpath variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.12,3892
Running kpath variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.08,4180
Running klev variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 3.07, Time/Memory: 0.17,3896
Running klev variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.09,4024
Running kpath variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.15,4016
Running kpath variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.11,3928
Running klev variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 3.09, Time/Memory: 0.24,3916
Running klev variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.13,3948
Running kpath variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.17,3852
Running kpath variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.12,4208
Running klev variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 3.12, Time/Memory: 0.29,4000
Running klev variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.15,3948
Running kpath variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.21,3864
Running kpath variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.15,3868
Running klev variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 3.16, Time/Memory: 0.36,3820
Running klev variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.18,4196
Running kpath variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.25,3992
Running kpath variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.18,3996
Running klev variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 3.16, Time/Memory: 0.40,4008
Running klev variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.22,3972
Running kpath variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.30,4000
Running kpath variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.20,4004
Running klev variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 3.19, Time/Memory: 0.48,4032
Running klev variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.25,3944
Running kpath variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.34,3960
Running kpath variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.23,4104
Running klev variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 3.24, Time/Memory: 0.54,4048
Running klev variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.29,4100
Running kpath variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.58,4160
Running kpath variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.38,3976
Running klev variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 3.35, Time/Memory: 0.95,4064
Running klev variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.49,4276
Running kpath variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.76,4276
Running kpath variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.54,4168
Running klev variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 3.4, Time/Memory: 1.35,3888
Running klev variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.69,4036
Running kpath variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.95,4288
Running kpath variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.69,4316
Running klev variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 3.44, Time/Memory: 1.83,4112
Running klev variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.92,4228
Running kpath variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.23,4292
Running kpath variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.84,4252
Running klev variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 3.51, Time/Memory: 2.35,4068
Running klev variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.16,4204
Running kpath variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.52,4452
Running kpath variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.89,4260
Running klev variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 3.54, Time/Memory: 3.10,4320
Running klev variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.24,4116
Running kpath variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.92,4416
Running kpath variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.07,4168
Running klev variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 3.62, Time/Memory: 3.69,4112
Running klev variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.45,4148
Running kpath variant 0 with N=450, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.19,4484
Running kpath variant N with N=450, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.25,4288
Running klev variant 0 with N=450, sparsity=2, seed=1729...
      Average Passes: 3.63, Time/Memory: 4.20,4216
Running klev variant N with N=450, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.70,4424
Running kpath variant 0 with N=500, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.51,4684
Running kpath variant N with N=500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.27,4312
Running klev variant 0 with N=500, sparsity=2, seed=1729...
      Average Passes: 3.66, Time/Memory: 4.95,4132
Running klev variant N with N=500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.95,4432
Running kpath variant 0 with N=600, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 4.44,4612
Running kpath variant N with N=600, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 3.00,4844
Running klev variant 0 with N=600, sparsity=2, seed=1729...
      Average Passes: 3.67, Time/Memory: 6.06,4220
Running klev variant N with N=600, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.55,4488
Running kpath variant 0 with N=700, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 5.19,4948
Running kpath variant N with N=700, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 3.60,4848
Running klev variant 0 with N=700, sparsity=2, seed=1729...
      Average Passes: 3.74, Time/Memory: 6.54,4356
Running klev variant N with N=700, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.96,4596
Running kpath variant 0 with N=800, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 6.08,5076
Running kpath variant N with N=800, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 4.05,5020
Running klev variant 0 with N=800, sparsity=2, seed=1729...
      Average Passes: 3.78, Time/Memory: 8.40,4224
Running klev variant N with N=800, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.52,4712
Running kpath variant 0 with N=900, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 6.82,5112
Running kpath variant N with N=900, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 4.77,5188
Running klev variant 0 with N=900, sparsity=2, seed=1729...
      Average Passes: 3.81, Time/Memory: 10.29,4456
Running klev variant N with N=900, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 4.15,4668
Running kpath variant 0 with N=1000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 7.54,5156
Running kpath variant N with N=1000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 5.42,5332
Running klev variant 0 with N=1000, sparsity=2, seed=1729...
      Average Passes: 3.84, Time/Memory: 10.78,4436
Running klev variant N with N=1000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 4.68,4684
Running kpath variant 0 with N=1200, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 8.93,5676
Running kpath variant N with N=1200, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 7.27,5584
Running klev variant 0 with N=1200, sparsity=2, seed=1729...
      Average Passes: 3.86, Time/Memory: 13.01,4540
Running klev variant N with N=1200, sparsity=2, seed=1729...
