Running experiments with 1000 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,4056
Running kpath variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4864
Running klev variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,3960
Running klev variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,4848
Running kpath variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.06,3932
Running kpath variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,5412
Running klev variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.07,4060
Running klev variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,5516
Running kpath variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.09,3976
Running kpath variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,5972
Running klev variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.12,3844
Running klev variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.04,6100
Running kpath variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.13,4092
Running kpath variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.05,6648
Running klev variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 3.01, Time/Memory: 0.17,4216
Running klev variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.05,6636
Running kpath variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.16,4244
Running kpath variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,7324
Running klev variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.23,4056
Running klev variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,7324
Running kpath variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 2.01, Time/Memory: 0.19,4044
Running kpath variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.08,7628
Running klev variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.27,4136
Running klev variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.07,7552
Running kpath variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 2.06, Time/Memory: 0.21,4128
Running kpath variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.11,8104
Running klev variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.35,3864
Running klev variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.10,7944
Running kpath variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 2.18, Time/Memory: 0.29,4008
Running kpath variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.11,8540
Running klev variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.35,4072
Running klev variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.12,8632
Running kpath variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 2.28, Time/Memory: 0.35,4128
Running kpath variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.12,9144
Running klev variant 0 with N=90, sparsity=2, seed=1729...
