Generating graphs for 68 (n,m) pairs with 1 iterations each
Total graphs to generate: 68
Using 30 parallel processes
Graph type: POWLAW
Sparsity: 2
✓ Generated graph n=10, m=33, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_10_33_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=20, m=86, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_20_86_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=30, m=147, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_30_147_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=40, m=212, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_40_212_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=50, m=282, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_50_282_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=1000, m=100, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_100_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=1000, m=200, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_200_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=1000, m=400, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_400_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=60, m=354, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_60_354_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=1000, m=300, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_300_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=1000, m=500, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_500_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=90, m=584, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_90_584_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=80, m=505, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_80_505_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=1000, m=600, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_600_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=100, m=664, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_100_664_POWLAW_6230961512046992311.txt (Time: 0.02s)
✓ Generated graph n=70, m=429, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_70_429_POWLAW_6230961512046992311.txt (Time: 0.02s)
✓ Generated graph n=1000, m=700, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_700_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=1000, m=900, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_900_POWLAW_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=1000, m=800, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_800_POWLAW_6230961512046992311.txt (Time: 0.02s)
✓ Generated graph n=150, m=1084, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_150_1084_POWLAW_6230961512046992311.txt (Time: 0.03s)
✓ Generated graph n=1000, m=1000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_1000_POWLAW_6230961512046992311.txt (Time: 0.02s)
✓ Generated graph n=300, m=2468, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_300_2468_POWLAW_6230961512046992311.txt (Time: 0.04s)
✓ Generated graph n=250, m=1991, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_250_1991_POWLAW_6230961512046992311.txt (Time: 0.05s)
✓ Generated graph n=1000, m=2000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_2000_POWLAW_6230961512046992311.txt (Time: 0.06s)
✓ Generated graph n=1000, m=3000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_3000_POWLAW_6230961512046992311.txt (Time: 0.07s)
✓ Generated graph n=1000, m=4000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_4000_POWLAW_6230961512046992311.txt (Time: 0.08s)
✓ Generated graph n=200, m=1528, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_200_1528_POWLAW_6230961512046992311.txt (Time: 0.09s)
✓ Generated graph n=700, m=6615, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_700_6615_POWLAW_6230961512046992311.txt (Time: 0.11s)
✓ Generated graph n=1000, m=6000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_6000_POWLAW_6230961512046992311.txt (Time: 0.11s)
✓ Generated graph n=1000, m=7000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_7000_POWLAW_6230961512046992311.txt (Time: 0.12s)
✓ Generated graph n=1000, m=5000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_5000_POWLAW_6230961512046992311.txt (Time: 0.12s)
✓ Generated graph n=1000, m=8000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_8000_POWLAW_6230961512046992311.txt (Time: 0.13s)
✓ Generated graph n=1000, m=9000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_9000_POWLAW_6230961512046992311.txt (Time: 0.15s)
