Running experiments with 100 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3072
Running kpath variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running klev variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,3072
Running klev variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,3072
Running kpath variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running klev variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 2.99, Time/Memory: 0.01,3072
Running klev variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,3072
Running kpath variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 3.01, Time/Memory: 0.02,3072
Running klev variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,3072
Running kpath variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.04,3072
Running klev variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.03,3072
Running kpath variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running klev variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.05,3072
Running klev variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running kpath variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 2.02, Time/Memory: 0.04,3072
Running kpath variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 3.04, Time/Memory: 0.05,3072
Running klev variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 2.07, Time/Memory: 0.04,3072
Running kpath variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.05,3072
Running klev variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 2.2, Time/Memory: 0.04,3072
Running kpath variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running klev variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 3.05, Time/Memory: 0.06,3072
Running klev variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 2.28, Time/Memory: 0.05,3072
Running kpath variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running klev variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 3.04, Time/Memory: 0.08,3072
Running klev variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running kpath variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 2.39, Time/Memory: 0.06,3072
Running kpath variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running klev variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.10,3072
Running klev variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running kpath variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 2.83, Time/Memory: 0.18,3072
Running kpath variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,4096
Running klev variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 3.12, Time/Memory: 0.21,3072
Running klev variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.05,4096
Running kpath variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 2.95, Time/Memory: 0.31,3072
Running kpath variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.10,5120
Running klev variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 3.16, Time/Memory: 0.33,3072
Running klev variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.09,4096
Running kpath variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 3.01, Time/Memory: 0.42,3072
Running kpath variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.13,5120
Running klev variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 3.19, Time/Memory: 0.46,3072
