Running experiments with 100 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,4160
Running kpath variant N with N=10, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3136
Running klev variant 0 with N=10, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,4156
Running klev variant N with N=10, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4148
Running kpath variant 0 with N=20, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,4160
Running kpath variant N with N=20, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=20, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.01,4152
Running klev variant N with N=20, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3192
Running kpath variant 0 with N=30, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,4136
Running kpath variant N with N=30, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4192
Running klev variant 0 with N=30, sparsity=3, seed=1729...
      Average Passes: 3.02, Time/Memory: 0.01,4188
Running klev variant N with N=30, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4180
Running kpath variant 0 with N=40, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,4152
Running kpath variant N with N=40, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4148
Running klev variant 0 with N=40, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.03,4164
Running klev variant N with N=40, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4132
Running kpath variant 0 with N=50, sparsity=3, seed=1729...
      Average Passes: 2.13, Time/Memory: 0.02,3136
Running kpath variant N with N=50, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3164
Running klev variant 0 with N=50, sparsity=3, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.03,4168
Running klev variant N with N=50, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4152
Running kpath variant 0 with N=60, sparsity=3, seed=1729...
      Average Passes: 2.5, Time/Memory: 0.03,4188
Running kpath variant N with N=60, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4136
Running klev variant 0 with N=60, sparsity=3, seed=1729...
      Average Passes: 3.04, Time/Memory: 0.05,4184
Running klev variant N with N=60, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,4148
Running kpath variant 0 with N=70, sparsity=3, seed=1729...
      Average Passes: 2.9, Time/Memory: 0.05,3172
Running kpath variant N with N=70, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,4176
Running klev variant 0 with N=70, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.06,4148
Running klev variant N with N=70, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4156
Running kpath variant 0 with N=80, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.07,3148
Running kpath variant N with N=80, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3220
Running klev variant 0 with N=80, sparsity=3, seed=1729...
      Average Passes: 3.01, Time/Memory: 0.07,3192
Running klev variant N with N=80, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,4144
Running kpath variant 0 with N=90, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.07,4136
Running kpath variant N with N=90, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,4152
Running klev variant 0 with N=90, sparsity=3, seed=1729...
      Average Passes: 3.02, Time/Memory: 0.09,4188
Running klev variant N with N=90, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,4156
Running kpath variant 0 with N=100, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.09,4152
Running kpath variant N with N=100, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,4164
Running klev variant 0 with N=100, sparsity=3, seed=1729...
      Average Passes: 3.02, Time/Memory: 0.11,4156
Running klev variant N with N=100, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,4152
Running kpath variant 0 with N=200, sparsity=3, seed=1729...
      Average Passes: 3.13, Time/Memory: 0.27,4164
Running kpath variant N with N=200, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.20,3124
Running klev variant 0 with N=200, sparsity=3, seed=1729...
      Average Passes: 3.14, Time/Memory: 0.32,3112
Running klev variant N with N=200, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.28,3156
Running kpath variant 0 with N=300, sparsity=3, seed=1729...
      Average Passes: 3.52, Time/Memory: 0.54,4184
Running kpath variant N with N=300, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.35,3104
Running klev variant 0 with N=300, sparsity=3, seed=1729...
      Average Passes: 3.19, Time/Memory: 0.59,4156
Running klev variant N with N=300, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.52,4188
Running kpath variant 0 with N=400, sparsity=3, seed=1729...
      Average Passes: 3.5, Time/Memory: 0.84,3196
Running kpath variant N with N=400, sparsity=3, seed=1729...
      Average Passes: 2.23, Time/Memory: 0.58,4172
Running klev variant 0 with N=400, sparsity=3, seed=1729...
      Average Passes: 3.27, Time/Memory: 0.90,3164
Running klev variant N with N=400, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.79,3120
Running kpath variant 0 with N=500, sparsity=3, seed=1729...
      Average Passes: 3.72, Time/Memory: 1.21,4156
Running kpath variant N with N=500, sparsity=3, seed=1729...
      Average Passes: 2.39, Time/Memory: 0.85,3124
Running klev variant 0 with N=500, sparsity=3, seed=1729...
      Average Passes: 3.34, Time/Memory: 1.27,3124
Running klev variant N with N=500, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.09,4136
Running kpath variant 0 with N=600, sparsity=3, seed=1729...
      Average Passes: 4.14, Time/Memory: 1.75,3176
Running kpath variant N with N=600, sparsity=3, seed=1729...
      Average Passes: 2.69, Time/Memory: 1.27,4176
Running klev variant 0 with N=600, sparsity=3, seed=1729...
      Average Passes: 3.34, Time/Memory: 1.67,4156
Running klev variant N with N=600, sparsity=3, seed=1729...
      Average Passes: 2.01, Time/Memory: 1.42,4164
Running kpath variant 0 with N=700, sparsity=3, seed=1729...
      Average Passes: 4.26, Time/Memory: 2.26,5204
Running kpath variant N with N=700, sparsity=3, seed=1729...
      Average Passes: 2.95, Time/Memory: 1.75,4160
Running klev variant 0 with N=700, sparsity=3, seed=1729...
      Average Passes: 3.34, Time/Memory: 2.09,4180
Running klev variant N with N=700, sparsity=3, seed=1729...
      Average Passes: 2.01, Time/Memory: 1.85,5172
Running kpath variant 0 with N=800, sparsity=3, seed=1729...
      Average Passes: 4.23, Time/Memory: 2.79,4204
Running kpath variant N with N=800, sparsity=3, seed=1729...
      Average Passes: 2.98, Time/Memory: 2.12,5196
Running klev variant 0 with N=800, sparsity=3, seed=1729...
      Average Passes: 3.42, Time/Memory: 2.56,4164
Running klev variant N with N=800, sparsity=3, seed=1729...
      Average Passes: 2.05, Time/Memory: 2.29,4180
Running kpath variant 0 with N=900, sparsity=3, seed=1729...
      Average Passes: 4.31, Time/Memory: 3.31,4168
Running kpath variant N with N=900, sparsity=3, seed=1729...
      Average Passes: 2.99, Time/Memory: 2.53,4160
Running klev variant 0 with N=900, sparsity=3, seed=1729...
      Average Passes: 3.4, Time/Memory: 3.08,3104
Running klev variant N with N=900, sparsity=3, seed=1729...
      Average Passes: 2.07, Time/Memory: 2.73,5176
Running kpath variant 0 with N=1000, sparsity=3, seed=1729...
      Average Passes: 4.32, Time/Memory: 3.93,4216
