Running experiments with 100 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3812
Running kpath variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4072
Running klev variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3972
Running klev variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3972
Running kpath variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3820
Running kpath variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4148
Running klev variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.00,3988
Running klev variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4088
Running kpath variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3944
Running kpath variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4348
Running klev variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.01,3996
Running klev variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4204
Running kpath variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,4012
Running kpath variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4260
Running klev variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.02,4056
Running klev variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,4256
Running kpath variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,4028
Running kpath variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4164
Running klev variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 3.04, Time/Memory: 0.02,4000
Running klev variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4336
Running kpath variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 2.04, Time/Memory: 0.02,4036
Running kpath variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4448
Running klev variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 3.03, Time/Memory: 0.03,4152
Running klev variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4228
Running kpath variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 2.11, Time/Memory: 0.03,4052
Running kpath variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4596
Running klev variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 3.02, Time/Memory: 0.04,4012
Running klev variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4276
Running kpath variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 2.2, Time/Memory: 0.03,4068
Running kpath variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4512
Running klev variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.03,3844
Running klev variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4652
Running kpath variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 2.34, Time/Memory: 0.03,4076
Running kpath variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4476
Running klev variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 3.07, Time/Memory: 0.05,3900
Running klev variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,4576
Running kpath variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 2.36, Time/Memory: 0.04,4024
Running kpath variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,4788
Running klev variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 3.06, Time/Memory: 0.06,4064
Running klev variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,4580
Running kpath variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 2.74, Time/Memory: 0.08,4104
Running kpath variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,4868
Running klev variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 3.04, Time/Memory: 0.09,4044
Running klev variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,4984
Running kpath variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 2.83, Time/Memory: 0.11,4268
Running kpath variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.04,5040
Running klev variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 3.09, Time/Memory: 0.12,4072
Running klev variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,5140
Running kpath variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 2.92, Time/Memory: 0.14,4332
Running kpath variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.04,5528
Running klev variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 3.1, Time/Memory: 0.17,4080
Running klev variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.05,5588
Running kpath variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 2.94, Time/Memory: 0.17,4272
Running kpath variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,5836
Running klev variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 3.08, Time/Memory: 0.17,4044
Running klev variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,5804
Running kpath variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 2.99, Time/Memory: 0.24,4556
Running kpath variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.07,6104
Running klev variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 3.17, Time/Memory: 0.26,4064
Running klev variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.07,6172
Running kpath variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 3.01, Time/Memory: 0.28,4488
Running kpath variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.08,6432
Running klev variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 3.13, Time/Memory: 0.26,3980
Running klev variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,6544
Running kpath variant 0 with N=450, sparsity=2, seed=1729...
      Average Passes: 3.04, Time/Memory: 0.32,4544
Running kpath variant N with N=450, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.09,6948
Running klev variant 0 with N=450, sparsity=2, seed=1729...
      Average Passes: 3.2, Time/Memory: 0.28,4072
Running klev variant N with N=450, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.10,6624
Running kpath variant 0 with N=500, sparsity=2, seed=1729...
      Average Passes: 3.06, Time/Memory: 0.40,4436
Running kpath variant N with N=500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.10,7148
Running klev variant 0 with N=500, sparsity=2, seed=1729...
      Average Passes: 3.18, Time/Memory: 0.34,4196
Running klev variant N with N=500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.09,7152
Running kpath variant 0 with N=600, sparsity=2, seed=1729...
      Average Passes: 3.06, Time/Memory: 0.46,4716
