Running experiments with 100 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3072
Running kpath variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running klev variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3072
Running klev variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.00,3072
Running kpath variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running klev variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.01,3072
Running klev variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.02,3072
Running kpath variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 3.06, Time/Memory: 0.02,3072
Running klev variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.01,3072
Running kpath variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running klev variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 3.06, Time/Memory: 0.03,3072
Running klev variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.00,3072
Running kpath variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.03,3072
Running kpath variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running klev variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 3.07, Time/Memory: 0.04,3072
Running klev variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.03,3072
Running kpath variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running klev variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 3.14, Time/Memory: 0.05,3072
Running klev variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.01,3072
Running kpath variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.03,3072
Running kpath variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running klev variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 3.15, Time/Memory: 0.05,3072
Running klev variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running kpath variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.04,3072
Running kpath variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running klev variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 3.14, Time/Memory: 0.06,3072
Running klev variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running kpath variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.05,3072
Running kpath variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running klev variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 3.23, Time/Memory: 0.08,3072
Running klev variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.02,3072
Running kpath variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.06,3072
Running kpath variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running klev variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 3.15, Time/Memory: 0.09,3072
Running klev variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.03,3072
Running kpath variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.08,3072
Running kpath variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.05,4096
Running klev variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 3.37, Time/Memory: 0.15,3072
Running klev variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.05,4096
Running kpath variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.12,3072
Running kpath variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,4096
Running klev variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 3.3, Time/Memory: 0.22,3072
Running klev variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.06,4096
Running kpath variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.16,3072
Running kpath variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.08,5120
Running klev variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 3.43, Time/Memory: 0.30,3072
