Running experiments with 10000 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.23,3996
Running kpath variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.12,11940
Running klev variant 0 with N=10, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.21,3976
Running klev variant N with N=10, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.12,11952
Running kpath variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.51,3972
Running kpath variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.21,19040
Running klev variant 0 with N=20, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.70,4000
Running klev variant N with N=20, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.26,19048
Running kpath variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.80,4156
Running kpath variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.42,26060
Running klev variant 0 with N=30, sparsity=2, seed=1729...
      Average Passes: 3.04, Time/Memory: 1.13,3996
Running klev variant N with N=30, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.40,26084
Running kpath variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.02,4036
Running kpath variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.55,32900
Running klev variant 0 with N=40, sparsity=2, seed=1729...
      Average Passes: 3.07, Time/Memory: 1.55,4012
Running klev variant N with N=40, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.50,32844
Running kpath variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.44,3972
Running kpath variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.69,39860
Running klev variant 0 with N=50, sparsity=2, seed=1729...
      Average Passes: 3.1, Time/Memory: 2.47,3996
Running klev variant N with N=50, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.67,40004
Running kpath variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.72,3908
Running kpath variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.96,46552
Running klev variant 0 with N=60, sparsity=2, seed=1729...
      Average Passes: 3.12, Time/Memory: 2.83,3832
Running klev variant N with N=60, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.83,46552
Running kpath variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.35,4100
Running kpath variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.02,53372
Running klev variant 0 with N=70, sparsity=2, seed=1729...
      Average Passes: 3.15, Time/Memory: 3.73,3992
Running klev variant N with N=70, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.00,53376
Running kpath variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.41,4076
Running kpath variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.27,60020
Running klev variant 0 with N=80, sparsity=2, seed=1729...
      Average Passes: 3.17, Time/Memory: 4.39,4012
Running klev variant N with N=80, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.05,60184
Running kpath variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.69,4060
Running kpath variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.36,67004
Running klev variant 0 with N=90, sparsity=2, seed=1729...
      Average Passes: 3.2, Time/Memory: 4.26,3912
Running klev variant N with N=90, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.32,67120
Running kpath variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 3.00,4140
Running kpath variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.39,73904
Running klev variant 0 with N=100, sparsity=2, seed=1729...
      Average Passes: 3.22, Time/Memory: 5.86,4068
Running klev variant N with N=100, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.42,73848
Running kpath variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 5.97,4156
Running kpath variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.38,107708
Running klev variant 0 with N=150, sparsity=2, seed=1729...
      Average Passes: 3.32, Time/Memory: 10.16,4072
Running klev variant N with N=150, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.46,107668
Running kpath variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 8.19,4224
Running kpath variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.27,144240
Running klev variant 0 with N=200, sparsity=2, seed=1729...
      Average Passes: 3.39, Time/Memory: 14.66,4028
Running klev variant N with N=200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.48,144128
Running kpath variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 10.22,4276
Running kpath variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 4.75,179392
Running klev variant 0 with N=250, sparsity=2, seed=1729...
      Average Passes: 3.45, Time/Memory: 18.01,4056
Running klev variant N with N=250, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 4.57,179392
Running kpath variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 13.34,4248
Running kpath variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 6.46,214444
Running klev variant 0 with N=300, sparsity=2, seed=1729...
      Average Passes: 3.51, Time/Memory: 22.43,4108
Running klev variant N with N=300, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 5.62,214364
Running kpath variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 14.88,4364
Running kpath variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 7.75,248432
Running klev variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 3.55, Time/Memory: 26.63,4100
Running klev variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 7.61,248464
Running kpath variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 15.80,4464
Running kpath variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 8.95,283252
Running klev variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 3.59, Time/Memory: 34.27,4156
Running klev variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 8.88,283196
Running kpath variant 0 with N=450, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 19.08,4492
Running kpath variant N with N=450, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 9.55,318872
