Running experiments with 10000 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=10, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.18,4008
Running kpath variant N with N=10, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.12,12040
Running klev variant 0 with N=10, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.20,3984
Running klev variant N with N=10, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.12,12020
Running kpath variant 0 with N=20, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.41,4092
Running kpath variant N with N=20, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.24,19016
Running klev variant 0 with N=20, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.68,4032
Running klev variant N with N=20, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.27,18876
Running kpath variant 0 with N=30, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.83,4032
Running kpath variant N with N=30, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.48,26168
Running klev variant 0 with N=30, sparsity=3, seed=1729...
      Average Passes: 3.04, Time/Memory: 1.27,3900
Running klev variant N with N=30, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.52,25980
Running kpath variant 0 with N=40, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.16,3928
Running kpath variant N with N=40, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.71,32884
Running klev variant 0 with N=40, sparsity=3, seed=1729...
      Average Passes: 3.05, Time/Memory: 1.96,4020
Running klev variant N with N=40, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.59,32968
Running kpath variant 0 with N=50, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.84,4000
Running kpath variant N with N=50, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.72,40204
Running klev variant 0 with N=50, sparsity=3, seed=1729...
      Average Passes: 3.08, Time/Memory: 3.00,4084
Running klev variant N with N=50, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.87,40276
Running kpath variant 0 with N=60, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.36,4076
Running kpath variant N with N=60, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.10,47312
Running klev variant 0 with N=60, sparsity=3, seed=1729...
      Average Passes: 3.08, Time/Memory: 3.46,4040
Running klev variant N with N=60, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.02,47124
Running kpath variant 0 with N=70, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.63,4168
Running kpath variant N with N=70, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.33,54140
Running klev variant 0 with N=70, sparsity=3, seed=1729...
      Average Passes: 3.1, Time/Memory: 4.94,4036
Running klev variant N with N=70, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.31,54312
Running kpath variant 0 with N=80, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 3.54,4008
Running kpath variant N with N=80, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.39,61100
Running klev variant 0 with N=80, sparsity=3, seed=1729...
      Average Passes: 3.12, Time/Memory: 5.10,4060
Running klev variant N with N=80, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.69,61200
Running kpath variant 0 with N=90, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 5.76,4116
Running kpath variant N with N=90, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.14,68380
Running klev variant 0 with N=90, sparsity=3, seed=1729...
      Average Passes: 3.13, Time/Memory: 7.12,3964
Running klev variant N with N=90, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.75,68128
Running kpath variant 0 with N=100, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 7.59,4144
Running kpath variant N with N=100, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.34,75324
Running klev variant 0 with N=100, sparsity=3, seed=1729...
      Average Passes: 3.14, Time/Memory: 8.12,4112
Running klev variant N with N=100, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.35,75228
Running kpath variant 0 with N=150, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 10.66,4264
Running kpath variant N with N=150, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 8.02,4132
Running klev variant 0 with N=150, sparsity=3, seed=1729...
      Average Passes: 3.19, Time/Memory: 14.73,4088
Running klev variant N with N=150, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 5.88,4044
Running kpath variant 0 with N=200, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 18.16,4188
Running kpath variant N with N=200, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 13.73,4184
Running klev variant 0 with N=200, sparsity=3, seed=1729...
      Average Passes: 3.23, Time/Memory: 22.44,3916
Running klev variant N with N=200, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 8.63,4120
Running kpath variant 0 with N=250, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 29.76,4148
Running kpath variant N with N=250, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 19.27,4360
Running klev variant 0 with N=250, sparsity=3, seed=1729...
      Average Passes: 3.27, Time/Memory: 28.03,4148
Running klev variant N with N=250, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 13.90,4180
Running kpath variant 0 with N=300, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 29.17,4328
Running kpath variant N with N=300, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 24.69,4416
Running klev variant 0 with N=300, sparsity=3, seed=1729...
      Average Passes: 3.29, Time/Memory: 43.29,4180
Running klev variant N with N=300, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 19.25,4324
Running kpath variant 0 with N=350, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 44.01,4484
Running kpath variant N with N=350, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 33.31,4412
Running klev variant 0 with N=350, sparsity=3, seed=1729...
      Average Passes: 3.32, Time/Memory: 55.89,4188
Running klev variant N with N=350, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 24.80,4264
Running kpath variant 0 with N=400, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 44.06,4608
Running kpath variant N with N=400, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 37.06,4484
Running klev variant 0 with N=400, sparsity=3, seed=1729...
      Average Passes: 3.33, Time/Memory: 56.29,4112
Running klev variant N with N=400, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 26.75,4472
Running kpath variant 0 with N=450, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 61.85,4424
Running kpath variant N with N=450, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 42.90,4420
Running klev variant 0 with N=450, sparsity=3, seed=1729...
      Average Passes: 3.34, Time/Memory: 76.59,4240
Running klev variant N with N=450, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 34.50,4224
Running kpath variant 0 with N=500, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 60.76,4680
Running kpath variant N with N=500, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 42.99,4696
Running klev variant 0 with N=500, sparsity=3, seed=1729...
      Average Passes: 3.37, Time/Memory: 94.57,4296
Running klev variant N with N=500, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 37.60,4468
Running kpath variant 0 with N=600, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 85.42,4904
