Graph already exists at: ./input/random_graphs/graph_10_33_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_20_86_POWLAW_6230961512046992311.txt
Running experiments with 1 iterations, varying N from 10 to 10,000 and seed token 1729
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpathN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpathN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpathN_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klevN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klevN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klevN_k10_seed_1729_itr_1_20250804_101736.csv
Running kpath variant 0 with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 10.0, Time/Memory: 0.00,4196
Running kpath variant 1 with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 10.0, Time/Memory: 0.00,4160
Running kpath variant 2 with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 9.0, Time/Memory: 0.00,4168
Running kpath variant N with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 9.0, Time/Memory: 0.00,4192
Running kpath variant 0 with N=10, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 10.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=10, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=10, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4164
Running kpath variant N with N=10, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=10, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 10.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=10, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=10, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running kpath variant N with N=10, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4224
Running klev variant 0 with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 10.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 10.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 10.0, Time/Memory: 0.00,4168
Running klev variant N with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 1.0,  Average Height: 10.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=10, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 10.0, Time/Memory: 0.00,4272
Running klev variant 1 with N=10, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=10, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running klev variant N with N=10, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=10, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 10.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=10, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=10, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running klev variant N with N=10, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 2.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=20, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 15.0, Time/Memory: 0.00,4196
Running kpath variant 1 with N=20, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 15.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=20, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 14.0, Time/Memory: 0.00,4168
Running kpath variant N with N=20, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 14.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=20, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 15.0, Time/Memory: 0.00,4260
Running kpath variant 1 with N=20, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4180
Running kpath variant 2 with N=20, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=20, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant 0 with N=20, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 15.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=20, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=20, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=20, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=20, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 14.0, Time/Memory: 0.00,4188
Running klev variant 1 with N=20, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 14.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=20, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 14.0, Time/Memory: 0.00,4168
Running klev variant N with N=20, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 14.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=20, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 14.0, Time/Memory: 0.00,4168
Graph already exists at: ./input/random_graphs/graph_30_147_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_40_212_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_50_282_POWLAW_6230961512046992311.txt
Running klev variant 1 with N=20, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=20, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=20, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=20, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 14.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=20, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=20, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=20, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant 0 with N=30, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 18.0, Time/Memory: 0.00,4164
Running kpath variant 1 with N=30, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 18.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=30, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 18.0, Time/Memory: 0.00,4164
Running kpath variant N with N=30, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 19.0, Time/Memory: 0.00,4164
Running kpath variant 0 with N=30, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 17.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=30, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4176
Running kpath variant 2 with N=30, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant N with N=30, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4176
Running kpath variant 0 with N=30, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 17.0, Time/Memory: 0.00,4188
Running kpath variant 1 with N=30, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4224
Running kpath variant 2 with N=30, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=30, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running klev variant 0 with N=30, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 18.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=30, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 18.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=30, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 18.0, Time/Memory: 0.00,4192
Running klev variant N with N=30, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 18.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=30, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 18.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=30, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=30, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4192
Running klev variant N with N=30, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4208
Running klev variant 0 with N=30, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 18.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=30, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=30, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=30, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant 0 with N=40, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 24.0, Time/Memory: 0.00,4224
Running kpath variant 1 with N=40, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 22.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=40, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 22.0, Time/Memory: 0.00,4168
Running kpath variant N with N=40, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 22.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=40, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 24.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=40, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 23.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=40, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 22.0, Time/Memory: 0.00,4196
Running kpath variant N with N=40, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 22.0, Time/Memory: 0.00,4164
Running kpath variant 0 with N=40, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 24.0, Time/Memory: 0.00,4196
Running kpath variant 1 with N=40, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=40, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant N with N=40, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=40, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 23.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=40, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 23.0, Time/Memory: 0.00,4272
Running klev variant 2 with N=40, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 23.0, Time/Memory: 0.00,4168
Running klev variant N with N=40, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 23.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=40, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 22.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=40, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 23.0, Time/Memory: 0.00,4216
Running klev variant 2 with N=40, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 23.0, Time/Memory: 0.00,4196
Running klev variant N with N=40, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 23.0, Time/Memory: 0.00,4164
Running klev variant 0 with N=40, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 22.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=40, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=40, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=40, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4192
Running kpath variant 0 with N=50, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 30.0, Time/Memory: 0.00,4164
Running kpath variant 1 with N=50, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 29.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=50, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 27.0, Time/Memory: 0.00,4168
Running kpath variant N with N=50, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 27.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=50, sparsity=2, k=5, seed=1729...
Graph already exists at: ./input/random_graphs/graph_60_354_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_70_429_POWLAW_6230961512046992311.txt
      Average Passes: 3.0,  Average Height: 29.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=50, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 27.0, Time/Memory: 0.00,4164
Running kpath variant 2 with N=50, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 27.0, Time/Memory: 0.00,4168
Running kpath variant N with N=50, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 27.0, Time/Memory: 0.00,4192
Running kpath variant 0 with N=50, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 30.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=50, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4184
Running kpath variant 2 with N=50, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4276
Running kpath variant N with N=50, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=50, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 31.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=50, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 33.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=50, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 33.0, Time/Memory: 0.00,4196
Running klev variant N with N=50, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 33.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=50, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 31.0, Time/Memory: 0.00,4188
Running klev variant 1 with N=50, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 33.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=50, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 33.0, Time/Memory: 0.00,4168
Running klev variant N with N=50, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 33.0, Time/Memory: 0.00,4196
Running klev variant 0 with N=50, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 31.0, Time/Memory: 0.00,4216
Running klev variant 1 with N=50, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=50, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=50, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4272
Running kpath variant 0 with N=60, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 25.0, Time/Memory: 0.00,4196
Running kpath variant 1 with N=60, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 27.0, Time/Memory: 0.00,4184
Running kpath variant 2 with N=60, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 25.0, Time/Memory: 0.00,4164
Running kpath variant N with N=60, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 25.0, Time/Memory: 0.00,4188
Running kpath variant 0 with N=60, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 23.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=60, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 26.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=60, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 27.0, Time/Memory: 0.00,4168
Running kpath variant N with N=60, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 27.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=60, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 25.0, Time/Memory: 0.00,4196
Running kpath variant 1 with N=60, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4216
Running kpath variant 2 with N=60, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=60, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=60, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 24.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=60, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 25.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=60, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 25.0, Time/Memory: 0.00,4260
Running klev variant N with N=60, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 25.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=60, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 24.0, Time/Memory: 0.00,4192
Running klev variant 1 with N=60, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 25.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=60, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 25.0, Time/Memory: 0.00,4180
Running klev variant N with N=60, sparsity=2, k=5, seed=1729...
      Average Passes: 1.0,  Average Height: 25.0, Time/Memory: 0.00,4180
Running klev variant 0 with N=60, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 24.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=60, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=60, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running klev variant N with N=60, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=70, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 26.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=70, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 25.0, Time/Memory: 0.00,4196
Running kpath variant 2 with N=70, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 26.0, Time/Memory: 0.00,4168
Running kpath variant N with N=70, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 26.0, Time/Memory: 0.00,4196
Running kpath variant 0 with N=70, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 27.0, Time/Memory: 0.00,4168
